CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,TRANSECT,SUBP,SMPLOCCD,MEASYEAR,CONDID,DUFFDEP,LITTDEP,FUELDEP,CREATED_DATE,MODIFIED_DATE,DLF_SAMPLE_METHOD,DUFF_METHOD,DUFF_NONSAMPLE_REASN_CD,LITTER_METHOD,LITTER_NONSAMPLE_REASN_CD,FUELBED_METHOD,FUELBED_NONSAMPLE_REASN_CD,DL_STATUS_CD
218177583020004,249604172010854,2006,72,1,6,30,1,2,2006,1,0.0,1.5,0.1,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218177586020004,249604172010854,2006,72,1,6,30,2,2,2006,1,0.0,0.8,0.1,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218177589020004,249604172010854,2006,72,1,6,30,3,2,2006,1,0.0,0.8,0.1,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218177592020004,249604172010854,2006,72,1,6,30,4,2,2006,1,0.0,1.3,0.1,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218177584020004,249604172010854,2006,72,1,6,150,1,2,2006,1,0.0,2.6,0.2,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218177587020004,249604172010854,2006,72,1,6,150,2,2,2006,1,0.0,1.3,0.1,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218177590020004,249604172010854,2006,72,1,6,150,3,2,2006,1,0.0,1.3,0.1,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218177593020004,249604172010854,2006,72,1,6,150,4,2,2006,1,0.0,1.2,0.1,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218177585020004,249604172010854,2006,72,1,6,270,1,2,2006,1,0.0,0.9,0.1,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218177588020004,249604172010854,2006,72,1,6,270,2,2,2006,1,0.0,1.5,0.1,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218177591020004,249604172010854,2006,72,1,6,270,3,2,2006,1,0.0,3.0,0.3,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218177594020004,249604172010854,2006,72,1,6,270,4,2,2006,1,0.0,1.9,0.2,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218176156020004,249604171010854,2006,72,1,8,30,1,2,2006,1,0.0,0.7,3.0,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218176159020004,249604171010854,2006,72,1,8,30,2,2,2006,1,0.0,0.9,0.1,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218176162020004,249604171010854,2006,72,1,8,30,3,2,2006,1,0.0,0.4,0.0,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
