CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,MEASYEAR,LVSHRBCD,DSHRBCD,LVHRBCD,DHRBCD,LITTERCD,LVSHRBHT,DSHRBHT,LVHRBHT,DHRBHT,CREATED_DATE,MODIFIED_DATE,MICR_SAMPLE_METHOD
218177960020004,249604172010854,2006,72,1,6,1,2006,0,0,10,0,99.0,0.0,0.0,5.4,0.0,2013-10-21 14:55:35,2014-09-22 08:59:48,1
218177961020004,249604172010854,2006,72,1,6,2,2006,0,0,20,0,90.0,0.0,0.0,0.5,0.0,2013-10-21 14:55:35,2014-09-22 08:59:48,1
218177962020004,249604172010854,2006,72,1,6,3,2006,0,0,10,0,99.0,0.0,0.0,0.9,0.0,2013-10-21 14:55:35,2014-09-22 08:59:48,1
218177963020004,249604172010854,2006,72,1,6,4,2006,0,0,30,10,99.0,0.0,0.0,5.9,5.9,2013-10-21 14:55:35,2014-09-22 08:59:48,1
218177664020004,249604171010854,2006,72,1,8,1,2006,0,0,40,10,99.0,0.0,0.0,5.9,5.6,2013-10-21 14:55:35,2014-09-22 08:59:48,1
218177665020004,249604171010854,2006,72,1,8,2,2006,0,0,80,30,90.0,0.0,0.0,5.9,5.4,2013-10-21 14:55:35,2014-09-22 08:59:48,1
218177666020004,249604171010854,2006,72,1,8,3,2006,0,0,80,0,90.0,0.0,0.0,5.9,0.0,2013-10-21 14:55:35,2014-09-22 08:59:48,1
218177667020004,249604171010854,2006,72,1,8,4,2006,0,0,80,0,99.0,0.0,0.0,5.9,0.0,2013-10-21 14:55:35,2014-09-22 08:59:48,1
218177956020004,249604170010854,2006,72,1,13,1,2006,10,0,10,0,99.0,13.1,0.0,5.9,0.0,2013-10-21 14:55:35,2014-09-22 08:59:48,1
218177957020004,249604170010854,2006,72,1,13,2,2006,0,0,10,0,99.0,0.0,0.0,0.7,0.0,2013-10-21 14:55:35,2014-09-22 08:59:48,1
218177958020004,249604170010854,2006,72,1,13,3,2006,10,0,10,0,99.0,13.1,0.0,1.0,0.0,2013-10-21 14:55:35,2014-09-22 08:59:48,1
218177959020004,249604170010854,2006,72,1,13,4,2006,20,10,10,0,99.0,15.4,12.8,1.5,0.0,2013-10-21 14:55:35,2014-09-22 08:59:48,1
218177668020004,249604176010854,2006,72,9,1,1,2006,80,10,10,0,99.0,7.9,5.2,0.5,0.0,2013-10-21 14:55:35,2014-09-22 08:59:48,1
218177669020004,249604176010854,2006,72,9,1,2,2006,60,10,10,0,99.0,10.5,8.2,2.3,0.0,2013-10-21 14:55:35,2014-09-22 08:59:48,1
