CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,TRANSECT,SEGMNT,MEASYEAR,CONDID,SLOPE_BEGNDIST,SLOPE_ENDDIST,SLOPE,HORIZ_LENGTH,HORIZ_BEGNDIST,HORIZ_ENDDIST,CREATED_DATE,MODIFIED_DATE,SEGMNT_STATUS_CD,SEGMNT_NONSAMPLE_REASN_CD,TRANSECT_LENGTH
218173976020004,249604172010854,2006,72,1,6,1,30,1,2006,1,0.0,25.056735621385,30,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173977020004,249604172010854,2006,72,1,6,1,150,1,2006,1,0.0,24.029981273401,5,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173978020004,249604172010854,2006,72,1,6,1,270,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173979020004,249604172010854,2006,72,1,6,2,30,1,2006,1,0.0,25.848791074246,40,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173980020004,249604172010854,2006,72,1,6,2,150,1,2006,1,0.0,24.738633753706,25,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173981020004,249604172010854,2006,72,1,6,2,270,1,2006,1,0.0,24.268498099388,15,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173982020004,249604172010854,2006,72,1,6,3,30,1,2006,1,0.0,24.11970149069,10,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173983020004,249604172010854,2006,72,1,6,3,150,1,2006,1,0.0,27.390509305232,55,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173984020004,249604172010854,2006,72,1,6,3,270,1,2006,1,0.0,24.738633753706,25,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173985020004,249604172010854,2006,72,1,6,4,30,1,2006,1,0.0,24.475293665245,20,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173986020004,249604172010854,2006,72,1,6,4,150,1,2006,1,0.0,24.268498099388,15,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
