CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,MEASDAY,MEASMON,MEASYEAR,QASTATCD,CRWTYPCD,SMPKNDCD,CREATED_DATE,MODIFIED_DATE,CWD_SAMPLE_METHOD,FWD_SAMPLE_METHOD,MICR_SAMPLE_METHOD,DLF_SAMPLE_METHOD,PILE_SAMPLE_METHOD,DWM_SAMPLING_STATUS_CD,DWM_NBR_SUBP,DWM_NBR_SUBP_TRANSECT,DWM_SUBPLIST,DWM_TRANSECT_LENGTH,QA_STATUS
218173834020004,249604172010854,2006,72,1,6,8,8,2006,1,,2,2013-10-21 14:55:35,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173918020004,249604171010854,2006,72,1,8,9,8,2006,1,,2,2013-10-21 14:55:35,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173942020004,249604170010854,2006,72,1,13,15,8,2006,1,,2,2013-10-21 14:55:35,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178312020004,249604173010854,2006,72,3,1,8,5,2006,1,,2,2013-10-21 14:55:35,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178212020004,249604175010854,2006,72,5,2,9,4,2006,1,,2,2013-10-21 14:55:35,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178242020004,249604174010854,2006,72,5,7,9,4,2006,1,,2,2013-10-21 14:55:35,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173893020004,249604176010854,2006,72,9,1,4,10,2006,1,,2,2013-10-21 14:55:35,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173858020004,249604177010854,2006,72,9,2,10,10,2006,1,,2,2013-10-21 14:55:35,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178202020004,249604178010854,2006,72,11,3,17,5,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173850020004,249604181010854,2006,72,13,4,14,11,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173825020004,249604183010854,2006,72,13,5,13,11,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178233020004,249604182010854,2006,72,13,10,8,9,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173835020004,249604180010854,2006,72,13,12,6,7,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178211020004,249604179010854,2006,72,13,15,24,4,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173904020004,249604184010854,2006,72,19,3,11,10,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178291020004,249604185010854,2006,72,19,5,7,6,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178323020004,249604186010854,2006,72,21,3,22,2,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173905020004,249604188010854,2006,72,23,15,1,8,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173870020004,249604189010854,2006,72,23,16,2,8,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173890020004,249604190010854,2006,72,23,17,27,6,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173851020004,249604187010854,2006,72,23,19,17,5,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173826020004,249604191010854,2006,72,25,3,7,3,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178236020004,249604192010854,2006,72,25,5,7,3,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178302020004,249604193010854,2006,72,27,1,5,6,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173871020004,249604194010854,2006,72,29,3,1,3,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178226020004,249604195010854,2006,72,31,6,23,2,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178307020004,249604196010854,2006,72,35,3,27,4,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173848020004,249604197010854,2006,72,35,4,2,10,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178336020004,249604198010854,2006,72,35,5,22,6,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173864020004,249604199010854,2006,72,37,3,23,10,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173865020004,249604200010854,2006,72,37,18,31,5,2006,1,,2,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173903020004,249604201010854,2006,72,39,5,21,11,2006,1,,3,2013-10-21 14:55:36,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178195020004,249604202010854,2006,72,43,4,18,4,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173919020004,249604203010854,2006,72,43,5,20,4,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
