CN,SRV_CN,CTY_CN,PREV_PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,PLOT_STATUS_CD,PLOT_NONSAMPLE_REASN_CD,MEASYEAR,MEASMON,MEASDAY,REMPER,KINDCD,DESIGNCD,RDDISTCD,WATERCD,LAT,LON,ELEV,GROW_TYP_CD,MORT_TYP_CD,P2PANEL,P3PANEL,MANUAL,KINDCD_NC,QA_STATUS,CREATED_DATE,MODIFIED_DATE,MICROPLOT_LOC,DECLINATION,SAMP_METHOD_CD,SUBP_EXAMINE_CD,MACRO_BREAKPOINT_DIA,INTENSITY,CYCLE,SUBCYCLE,TOPO_POSITION_PNW,NF_SAMPLING_STATUS_CD,NF_PLOT_STATUS_CD,NF_PLOT_NONSAMPLE_REASN_CD,P2VEG_SAMPLING_STATUS_CD,P2VEG_SAMPLING_LEVEL_DETAIL_CD,INVASIVE_SAMPLING_STATUS_CD,INVASIVE_SPECIMEN_RULE_CD,DESIGNCD_P2A,MANUAL_DB,SUBPANEL,FUTFORCD_RMRS,MANUAL_NCRS,MANUAL_NERS,MANUAL_RMRS,PAC_ISLAND_PNWRS,PLOT_SEASON_NERS,PREV_MICROPLOT_LOC_RMRS,PREV_PLOT_STATUS_CD_RMRS,REUSECD1,REUSECD2,REUSECD3,GRND_LYR_SAMPLING_STATUS_CD,GRND_LYR_SAMPLING_METHOD_CD
308962524732862,490986411126144,13163727010478,,1990,72,1,1,275,2,,1990,2,,9.9,0,219,,,18.175447,-66.823955,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:22,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962525732862,490986411126144,13163727010478,,1990,72,1,1,276,1,,1990,3,,,0,219,,,18.165998,-66.812772,,,,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:22,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962529732862,490986411126144,13163727010478,,1990,72,1,1,293,1,,1990,2,,9.9,0,219,,,18.230555,-66.794892,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:22,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962530732862,490986411126144,13163727010478,,1990,72,1,1,295,1,,1990,2,,9.9,0,219,,,18.190051,-66.790661,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:22,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962531732862,490986411126144,13163727010478,,1990,72,1,1,296,1,,1990,3,,10.0,0,219,,,18.14912,-66.795151,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:22,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962535732862,490986411126144,13163727010478,,1990,72,1,1,312,1,,1990,2,,9.9,0,219,,,18.21289,-66.767664,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:22,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962542732862,490986411126144,13163727010478,,1990,72,1,1,330,1,,1990,2,,9.9,0,219,,,18.210587,-66.740489,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:22,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962543732862,490986411126144,13163727010478,,1990,72,1,1,331,1,,1990,2,,10.0,0,219,,,18.190703,-66.73318,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:22,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962544732862,490986411126144,13163727010478,,1990,72,1,1,332,1,,1990,2,,9.9,0,219,,,18.160814,-66.722268,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:22,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962545732862,490986411126144,13163727010478,,1990,72,1,1,333,2,,1990,2,,10.0,0,219,,,18.136266,-66.730799,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:22,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962547732862,490986411126144,13163727010478,,1990,72,1,1,348,1,,1990,2,,,0,219,,,18.203128,-66.710511,,,,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:22,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962548732862,490986411126144,13163727010478,,1990,72,1,1,349,1,,1990,2,,9.9,0,219,,,18.190503,-66.702537,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:22,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962549732862,490986411126144,13163727010478,,1990,72,1,1,350,1,,1990,2,,10.0,0,219,,,18.165045,-66.70513,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:22,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
