CN,EVAL_CN,RSCD,EVALID,ESTN_UNIT,ESTN_UNIT_DESCR,STATECD,AREALAND_EU,AREATOT_EU,AREA_USED,AREA_SOURCE,P1PNTCNT_EU,P1SOURCE,CREATED_DATE,MODIFIED_DATE
309032643732862,308979044732862,33,729001,1,TIMBERLAND ON MAINLAIND,72,366055.5,366055.5,366055.5,UNKNOWN,148138,UNKNOWN,2022-09-28 05:48:06,2025-05-02 10:14:18
25600589020004,25600551020004,33,720400,2,ISLAND OF VIEQUES,72,32530.15,168947.89,168947.89,PIXEL COUNT,759696,NLCD 2001 PUERTO RICO MAINLAND,2012-02-07 09:59:55,2018-03-20 14:14:21
25600590020004,25600551020004,33,720400,3,ISLAND OF CULEBRA,72,7435.73,108048.4,108048.4,PIXEL COUNT,485857,NLCD 2001 PUERTO RICO MAINLAND,2012-02-07 09:59:56,2018-03-20 14:14:21
25600588020004,25600551020004,33,720400,1,MAINLAND PUERTO RICO (EXCLUDES DESECHEO AND MONA),72,2137333.34,3006004.56,3006004.56,PIXEL COUNT,13517072,NLCD 2001 PUERTO RICO MAINLAND,2012-02-07 09:59:53,2018-03-20 14:14:21
25600593020004,25600552020004,33,720401,1,MAINLAND PUERTO RICO (EXCLUDES DESECHEO AND MONA),72,2137333.34,3006004.56,3006004.56,PIXEL COUNT,13517072,NLCD 2001 PUERTO RICO MAINLAND,2012-02-07 10:01:49,2018-03-20 14:14:21
25600594020004,25600552020004,33,720401,2,ISLAND OF VIEQUES,72,32530.15,168947.89,168947.89,PIXEL COUNT,759696,NLCD 2001 PUERTO RICO MAINLAND,2012-02-07 10:01:50,2018-03-20 14:14:21
25600595020004,25600552020004,33,720401,3,ISLAND OF CULEBRA,72,7435.73,108048.4,108048.4,PIXEL COUNT,485857,NLCD 2001 PUERTO RICO MAINLAND,2012-02-07 10:01:50,2018-03-20 14:14:21
218181495020004,218181483020004,33,720907,1,MAINLAND PUERTO RICO (EXCLUDES DESECHEO AND MONA),72,2137333.34,2137333.34,2137333.34,PIXEL COUNT,9608106,NLCD 2001 PUERTO RICO MAINLAND,2013-10-22 07:24:38,2018-03-20 14:14:21
25835937020004,25829636020004,33,720900,1,MAINLAND PUERTO RICO (EXCLUDES DESECHEO AND MONA),72,2137333.34,3006004.56,3006004.56,PIXEL COUNT,13517072,NLCD 2001 PUERTO RICO MAINLAND,2012-02-07 15:39:55,2018-03-20 14:14:21
25836029020004,25829636020004,33,720900,2,ISLAND OF VIEQUES,72,32530.15,168947.89,168947.89,PIXEL COUNT,759696,NLCD 2001 PUERTO RICO MAINLAND,2012-02-07 15:39:58,2018-03-20 14:14:21
25836034020004,25829636020004,33,720900,3,ISLAND OF CULEBRA,72,7435.73,108048.4,108048.4,PIXEL COUNT,485857,NLCD 2001 PUERTO RICO MAINLAND,2012-02-07 15:39:58,2018-03-20 14:14:21
25837898020004,25829638020004,33,720901,1,MAINLAND PUERTO RICO (EXCLUDES DESECHEO AND MONA),72,2137333.34,3006004.56,3006004.56,PIXEL COUNT,13517072,NLCD 2001 PUERTO RICO MAINLAND,2012-02-07 15:42:40,2018-03-20 14:14:21
25837904020004,25829638020004,33,720901,2,ISLAND OF VIEQUES,72,32530.15,168947.89,168947.89,PIXEL COUNT,759696,NLCD 2001 PUERTO RICO MAINLAND,2012-02-07 15:42:41,2018-03-20 14:14:21
25837907020004,25829638020004,33,720901,3,ISLAND OF CULEBRA,72,7435.73,108048.4,108048.4,PIXEL COUNT,485857,NLCD 2001 PUERTO RICO MAINLAND,2012-02-07 15:42:41,2018-03-20 14:14:21
