CN,RSCD,NAME,CREATED_DATE,MODIFIED_DATE
268905632732862,33,US Virgin Islands Annual Inventory,2021-05-26 09:49:08,2021-05-28 05:38:44
270781584732862,23,Illinois P3 Ozone Inventory,2021-03-29 00:00:00,
270781582732862,23,Illinois Periodic Inventory,2021-03-29 00:00:00,
270781583732862,23,Illinois Annual Inventory,2021-03-29 00:00:00,
270781588732862,23,Iowa Periodic Inventory,2021-03-29 00:00:00,
270781589732862,23,Iowa Annual Inventory,2021-03-29 00:00:00,
270781590732862,23,Iowa P3 Ozone Inventory,2021-03-29 00:00:00,
270781591732862,23,Kansas Periodic Inventory,2021-03-29 00:00:00,
270781593732862,23,Kansas P3 Ozone Inventory,2021-03-29 00:00:00,
270781592732862,23,Kansas Annual Inventory,2021-03-29 00:00:00,
270781624732862,24,Maryland Periodic Inventory,2021-03-29 00:00:00,
270781625732862,24,Maryland Annual Inventory,2021-03-29 00:00:00,
270781626732862,24,Maryland P3 Ozone Inventory,2021-03-29 00:00:00,
270781599732862,23,Minnesota P3 Ozone Inventory,2021-03-29 00:00:00,
270781598732862,23,Minnesota Annual Inventory,2021-03-29 00:00:00,
270781597732862,23,Minnesota Periodic Inventory,2021-03-29 00:00:00,
270781649732862,24,Vermont Annual Inventory,2021-03-29 00:00:00,
270781650732862,24,Vermont P3 Ozone Inventory,2021-03-29 00:00:00,
270781648732862,24,Vermont Periodic Inventory,2021-03-29 00:00:00,
270781628732862,24,Massachusetts Annual Inventory,2021-03-29 00:00:00,
270781627732862,24,Massachusetts Periodic Inventory,2021-03-29 00:00:00,
270781605732862,23,Nebraska P3 Ozone Inventory,2021-03-29 00:00:00,
833968353290487,22,FIA Idaho Annual Inventory,2021-05-05 09:06:21,
833968354290487,22,FIA Idaho Periodic Inventory,2023-07-25 05:58:17,
270781622732862,24,Maine Annual Inventory,2021-03-29 00:00:00,
270781621732862,24,Maine Periodic Inventory,2021-03-29 00:00:00,
270781623732862,24,Maine P3 Ozone Inventory,2021-03-29 00:00:00,
270781629732862,24,Massachusetts P3 Ozone Inventory,2021-03-29 00:00:00,
270781604732862,23,Nebraska Annual Inventory,2021-03-29 00:00:00,
270781603732862,23,Nebraska Periodic Inventory,2021-03-29 00:00:00,
270781632732862,24,New Hampshire P3 Ozone Inventory,2021-03-29 00:00:00,
270781630732862,24,New Hampshire Periodic Inventory,2021-03-29 00:00:00,
270781631732862,24,New Hampshire Annual Inventory,2021-03-29 00:00:00,
270781634732862,24,New Jersey Annual Inventory,2021-03-29 00:00:00,
270781633732862,24,New Jersey Periodic Inventory,2021-03-29 00:00:00,
270781635732862,24,New Jersey P3 Ozone Inventory,2021-03-29 00:00:00,
270781637732862,24,New York Annual Inventory,2021-03-29 00:00:00,
270781638732862,24,New York P3 Ozone Inventory,2021-03-29 00:00:00,
270781636732862,24,New York Periodic Inventory,2021-03-29 00:00:00,
270781646732862,24,Rhode Island Annual Inventory,2021-03-29 00:00:00,
270781647732862,24,Rhode Island P3 Ozone Inventory,2021-03-29 00:00:00,
270781645732862,24,Rhode Island Periodic Inventory,2021-03-29 00:00:00,
270781651732862,24,West Virginia Periodic Inventory,2021-03-29 00:00:00,
270781652732862,24,West Virginia Annual Inventory,2021-03-29 00:00:00,
270781653732862,24,West Virginia P3 Ozone Inventory,2021-03-29 00:00:00,
833968347290487,22,FIA Nevada Annual Inventory,2021-05-05 09:06:21,
833968348290487,22,FIA Nevada Periodic Inventory,2023-07-25 05:58:17,
833968349290487,22,FIA Utah Annual Inventory,2021-05-05 09:06:21,
833968350290487,22,FIA Utah Periodic Inventory,2023-07-25 05:58:17,
270781602732862,23,Missouri P3 Ozone Inventory,2021-03-29 00:00:00,
270781601732862,23,Missouri Annual Inventory,2021-03-29 00:00:00,
270781594732862,23,Michigan Periodic Inventory,2021-03-29 00:00:00,
270781596732862,23,Michigan P3 Ozone Inventory,2021-03-29 00:00:00,
270781595732862,23,Michigan Annual Inventory,2021-03-29 00:00:00,
270781600732862,23,Missouri Periodic Inventory,2021-03-29 00:00:00,
270781642732862,24,Pennsylvania Periodic Inventory,2021-03-29 00:00:00,
270781644732862,24,Pennsylvania P3 Ozone Inventory,2021-03-29 00:00:00,
270781643732862,24,Pennsylvania Annual Inventory,2021-03-29 00:00:00,
270781614732862,23,Wisconsin P3 Ozone Inventory,2021-03-29 00:00:00,
270781612732862,23,Wisconsin Periodic Inventory,2021-03-29 00:00:00,
270781613732862,23,Wisconsin Annual Inventory,2021-03-29 00:00:00,
833968343290487,22,FIA Arizona Annual Inventory,2021-05-05 09:06:21,
833968344290487,22,FIA Arizona Periodic Inventory,2023-07-25 05:58:17,
270781617732862,24,Connecticut P3 Ozone Inventory,2021-03-29 00:00:00,
270781616732862,24,Connecticut Annual Inventory,2021-03-29 00:00:00,
270781615732862,24,Connecticut Periodic Inventory,2021-03-29 00:00:00,
270781618732862,24,Delaware Periodic Inventory,2021-03-29 00:00:00,
270781620732862,24,Delaware P3 Ozone Inventory,2021-03-29 00:00:00,
270781619732862,24,Delaware Annual Inventory,2021-03-29 00:00:00,
270781586732862,23,Indiana Annual Inventory,2021-03-29 00:00:00,
270781587732862,23,Indiana P3 Ozone Inventory,2021-03-29 00:00:00,
270781585732862,23,Indiana Periodic Inventory,2021-03-29 00:00:00,
270781608732862,23,North Dakota P3 Ozone Inventory,2021-03-29 00:00:00,
270781606732862,23,North Dakota Periodic Inventory,2021-03-29 00:00:00,
270781607732862,23,North Dakota Annual Inventory,2021-03-29 00:00:00,
270781641732862,24,Ohio P3 Ozone Inventory,2021-03-29 00:00:00,
270781639732862,24,Ohio Periodic Inventory,2021-03-29 00:00:00,
270781640732862,24,Ohio Annual Inventory,2021-03-29 00:00:00,
270781609732862,23,South Dakota Periodic Inventory,2021-03-29 00:00:00,
270781611732862,23,South Dakota P3 Ozone Inventory,2021-03-29 00:00:00,
270781610732862,23,South Dakota Annual Inventory,2021-03-29 00:00:00,
268905633732862,33,Virginia Annual Inventory,2021-05-26 09:49:08,2021-05-28 05:38:44
268905611732862,33,Virginia Periodic Inventory,2021-05-26 09:49:08,2021-05-28 05:33:14
794708797290487,26,FIA Palau Annual Inventory,2021-05-03 12:48:36,
833968351290487,22,FIA Colorado Annual Inventory,2021-05-05 09:06:21,
268905609732862,33,Arkansas Annual Inventory,2021-05-26 09:49:07,2021-05-28 05:38:44
794708795290487,26,FIA Marshall Islands Annual Inventory,2021-05-03 12:48:36,
268905620732862,33,Alabama Periodic Inventory,2021-05-26 09:49:07,2021-05-28 05:33:14
833968352290487,22,FIA Colorado Periodic Inventory,2023-07-25 05:58:17,
833968356290487,22,FIA Montana Periodic Inventory,2023-07-25 05:58:17,
833968355290487,22,FIA Montana Annual Inventory,2021-05-05 09:06:21,
833968357290487,22,FIA Wyoming Annual Inventory,2021-05-05 09:06:21,
833968358290487,22,FIA Wyoming Periodic Inventory,2023-07-25 05:58:17,
270739969732862,33,Oklahoma West and Central Annual Inventory,2021-05-27 05:02:44,2021-05-28 05:38:44
268905622732862,33,Oklahoma East Annual Inventory,2021-05-26 09:49:08,2021-05-28 05:38:44
270739971732862,33,Oklahoma West and Central Periodic Inventory,2021-05-27 05:03:28,2021-05-28 05:33:14
268905618732862,33,Arkansas Periodic Inventory,2021-05-26 09:49:07,2021-05-28 05:33:14
794701919290487,26,NFS R6 Spatial Intensification,2021-05-03 13:08:38,
268905606732862,33,Alabama Annual Inventory,2021-05-26 09:49:07,2021-05-28 05:38:44
268905629732862,33,Oklahoma East Periodic Inventory,2021-05-26 09:49:08,2021-05-28 05:33:14
268905610732862,33,Florida Annual Inventory,2021-05-26 09:49:07,2021-05-28 05:38:44
268905617732862,33,Florida Periodic Inventory,2021-05-26 09:49:07,2021-05-28 05:33:14
794705689290487,26,FIA Washington P3 Ozone Survey,2021-05-03 13:08:38,
794797918290487,26,FIA Washington Periodic Inventory,2021-05-03 13:08:37,
794705688290487,26,FIA Washington Annual Inventory,2021-05-03 12:48:35,
268905627732862,33,South Carolina Annual Inventory,2021-05-26 09:49:08,2021-05-28 05:38:44
794708796290487,26,FIA Commonwealth of the Northern Mariana Islands Annual Inventory,2021-05-03 12:48:36,
794708798290487,26,PNWRS Micronesia Challenge Inventory,2021-05-03 12:48:36,
833968345290487,22,FIA New Mexico Annual Inventory,2021-05-05 09:06:21,
833968346290487,22,FIA New Mexico Periodic Inventory,2023-07-25 05:58:17,
268905624732862,33,Puerto Rico Periodic Inventory,2021-05-26 09:49:08,2021-05-28 05:38:44
794702377290487,26,FIA California Annual Inventory,2021-05-03 12:48:32,
794705691290487,26,FIA Federated States of Micronesia Annual Inventory,2021-05-03 12:48:35,
794705690290487,26,FIA American Samoa Annual Inventory,2021-05-03 12:48:35,
794797915290487,26,FIA California Periodic Inventory,2021-05-03 13:08:37,
794702378290487,26,FIA California P3 Ozone Survey,2021-05-03 13:08:38,
268905625732862,33,Puerto Rico Annual Inventory,2021-05-26 09:49:08,2021-05-28 05:38:44
268905623732862,33,South Carolina Periodic Inventory,2021-05-26 09:49:08,2021-05-28 05:33:14
268905628732862,33,Tennessee Annual Inventory,2021-05-26 09:49:08,2021-05-28 05:38:44
794702382290487,26,FIA Hawaii Annual Inventory,2021-05-03 12:48:33,
268905615732862,33,Georgia Periodic Inventory,2021-05-26 09:49:07,2021-05-28 05:33:14
268905612732862,33,Georgia Annual Inventory,2021-05-26 09:49:07,2021-05-28 05:38:44
268905607732862,33,Tennessee Periodic Inventory,2021-05-26 09:49:08,2021-05-28 05:33:14
794706000290487,26,FIA Guam Annual Inventory,2021-05-03 12:48:35,
268905634732862,33,North Carolina Periodic Inventory,2021-05-26 09:49:08,2021-05-28 05:33:14
268905621732862,33,North Carolina Annual Inventory,2021-03-10 09:06:07,2021-05-28 05:38:44
268905616732862,33,Louisiana Annual Inventory,2021-05-26 09:49:07,2021-05-28 05:38:44
268905626732862,33,Louisiana Periodic Inventory,2021-05-26 09:49:07,2021-05-28 05:33:14
268905614732862,33,Kentucky Annual Inventory,2021-05-26 09:49:07,2021-05-28 05:38:44
268905613732862,33,Kentucky Periodic Inventory,2021-05-26 09:49:07,2021-05-28 05:33:14
268905619732862,33,Mississippi Annual Inventory,2021-05-26 09:49:07,2021-05-28 05:38:44
268905630732862,33,Mississippi Periodic Inventory,2021-05-26 09:49:07,2021-05-28 05:33:14
268905608732862,33,Texas East Periodic Inventory,2021-05-26 09:49:08,2021-05-28 05:33:14
270700304732862,33,Texas West/Central Annual Inventory,2021-05-26 09:49:08,2021-05-28 05:38:44
270700303732862,33,Texas East Annual Inventory,2021-05-26 09:49:08,2021-05-28 05:38:44
794701915290487,27,FIA Coastal Alaska Periodic Inventory,2021-05-03 13:08:38,
794701988290487,27,FIA Coastal Alaska P3 Ozone Survey,2021-05-03 13:08:38,
794701916290487,27,FIA Interior Alaska Annual Inventory,2021-05-03 12:48:31,
