CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,SPCD,SPGRPCD,STOCKING,TREECOUNT,TOTAGE,CREATED_DATE,MODIFIED_DATE,TREECOUNT_CALC,TPA_UNADJ,CYCLE,SUBCYCLE,DAMAGE_AGENT_CD1_SRS,PCT_AFFECTED_DAMAGE_AGENT1_SRS,DAMAGE_AGENT_CD2_SRS,PCT_AFFECTED_DAMAGE_AGENT2_SRS,DAMAGE_AGENT_CD3_SRS,PCT_AFFECTED_DAMAGE_AGENT3_SRS,AGECD_RMRS,COUNTCHKCD_RMRS,SPCD_ID_CD
249764904010854,249603592010854,2001,72,1,9,2,1,1,7290.0,54,0.0015,3,,2011-09-29 10:44:47,2024-12-18 09:00:22,3.0,224.895847,3,1,,,,,,,,,
249764905010854,249603592010854,2001,72,1,9,2,1,1,8193.0,54,0.0015,3,,2011-09-29 10:44:47,2024-12-18 09:00:22,3.0,224.895847,3,1,,,,,,,,,
249764906010854,249603592010854,2001,72,1,9,2,1,1,8194.0,54,0.0005,1,,2011-09-29 10:44:47,2024-12-18 09:00:22,1.0,74.965282,3,1,,,,,,,,,
249764907010854,249603592010854,2001,72,1,9,2,1,1,8305.0,54,0.0005,1,,2011-09-29 10:44:47,2024-12-18 09:00:22,1.0,74.965282,3,1,,,,,,,,,
249764908010854,249603592010854,2001,72,1,9,2,2,1,6406.0,54,0.001,2,,2011-09-29 10:44:47,2024-12-18 09:00:22,2.0,149.930565,3,1,,,,,,,,,
249764909010854,249603592010854,2001,72,1,9,2,2,1,6407.0,54,0.001,2,,2011-09-29 10:44:47,2024-12-18 09:00:22,2.0,149.930565,3,1,,,,,,,,,
249764910010854,249603592010854,2001,72,1,9,2,2,1,6743.0,54,0.0005,1,,2011-09-29 10:44:47,2024-12-18 09:00:22,1.0,74.965282,3,1,,,,,,,,,
249764911010854,249603592010854,2001,72,1,9,2,2,1,7290.0,54,0.001,2,,2011-09-29 10:44:47,2024-12-18 09:00:22,2.0,149.930565,3,1,,,,,,,,,
249764912010854,249603592010854,2001,72,1,9,2,2,1,7813.0,54,0.001,2,,2011-09-29 10:44:47,2024-12-18 09:00:22,2.0,149.930565,3,1,,,,,,,,,
249764913010854,249603592010854,2001,72,1,9,2,2,1,7891.0,54,0.0005,1,,2011-09-29 10:44:47,2024-12-18 09:00:22,1.0,74.965282,3,1,,,,,,,,,
