CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,MEASYEAR,SOILSPCT,COMPCPCT,TYPRTDCD,TYPCMPCD,TYPAREACD,TYPOTHRCD,CREATED_DATE,MODIFIED_DATE
311810871489998,253419195010854,2011,72,1,6,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810872489998,253419195010854,2011,72,1,6,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810873489998,253419195010854,2011,72,1,6,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810874489998,253419195010854,2011,72,1,6,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311817839489998,253419292010854,2011,72,9,1,1.0,2011,5.0,10.0,0.0,1.0,0.0,0.0,2015-03-17 15:12:15,
311817840489998,253419292010854,2011,72,9,1,2.0,2011,5.0,0.0,,,,,2015-03-17 15:12:15,
311817841489998,253419292010854,2011,72,9,1,3.0,2011,30.0,20.0,0.0,1.0,0.0,0.0,2015-03-17 15:12:15,
311817842489998,253419292010854,2011,72,9,1,4.0,2011,10.0,30.0,0.0,1.0,0.0,0.0,2015-03-17 15:12:15,
311811876489998,253419208010854,2011,72,9,2,1.0,2011,60.0,0.0,,,,,2015-03-17 15:12:14,
311811877489998,253419208010854,2011,72,9,2,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311811878489998,253419208010854,2011,72,9,2,3.0,2011,10.0,0.0,,,,,2015-03-17 15:12:14,
311811879489998,253419208010854,2011,72,9,2,4.0,2011,10.0,0.0,,,,,2015-03-17 15:12:14,
311816376489998,253419267010854,2011,72,13,4,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311816373489998,253419267010854,2011,72,13,4,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311816374489998,253419267010854,2011,72,13,4,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311816375489998,253419267010854,2011,72,13,4,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311815860489998,253419266010854,2011,72,13,5,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311815863489998,253419266010854,2011,72,13,5,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311817051489998,253419279010854,2011,72,13,10,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311817052489998,253419279010854,2011,72,13,10,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311817053489998,253419279010854,2011,72,13,10,4.0,2011,0.0,99.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:15,
311809759489998,253419179010854,2011,72,23,16,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311809760489998,253419179010854,2011,72,23,16,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311809761489998,253419179010854,2011,72,23,16,3.0,2011,10.0,0.0,,,,,2015-03-17 15:12:14,
311809762489998,253419179010854,2011,72,23,16,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311811469489998,253419206010854,2011,72,23,17,4.0,2011,20.0,10.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311817426489998,253419288010854,2011,72,23,19,3.0,2011,0.0,90.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:15,
311817427489998,253419288010854,2011,72,23,19,4.0,2011,0.0,40.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:15,
311815665489998,253419262010854,2011,72,25,3,2.0,2011,5.0,0.0,,,,,2015-03-17 15:12:15,
311815855489998,253419266010854,2011,72,13,5,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311815664489998,253419262010854,2011,72,25,3,1.0,2011,5.0,0.0,,,,,2015-03-17 15:12:15,
311815857489998,253419266010854,2011,72,13,5,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311813571489998,253419230010854,2011,72,13,12,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311813124489998,253419226010854,2011,72,23,15,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311813125489998,253419226010854,2011,72,23,15,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311813126489998,253419226010854,2011,72,23,15,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311813127489998,253419226010854,2011,72,23,15,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311817424489998,253419288010854,2011,72,23,19,1.0,2011,5.0,80.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:15,
311817425489998,253419288010854,2011,72,23,19,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311815666489998,253419262010854,2011,72,25,3,3.0,2011,60.0,60.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:15,
311815667489998,253419262010854,2011,72,25,3,4.0,2011,15.0,0.0,,,,,2015-03-17 15:12:15,
311814063489998,253419239010854,2011,72,29,3,1.0,2011,10.0,0.0,,,,,2015-03-17 15:12:14,
