CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SMPLNNBR,MEASYEAR,FORFLTHK,LTRLRTHK,FORFLTHKN,LTRLRTHKN,FORFLTHKS,LTRLRTHKS,FORFLTHKE,LTRLRTHKE,FORFLTHKW,LTRLRTHKW,CONDID,VSTNBR,TXTRLYR1,TXTRLYR2,DPTHSBSL,SOILS_STATCD,CREATED_DATE,MODIFIED_DATE
311810875489998,253419195010854,2011,72,1,6,2,2011,1.1,1.1,1.4,1.4,1.2,1.2,0.5,0.5,1.3,1.3,1,2,2.0,2.0,10.2,1,2015-03-17 15:12:14,
311810876489998,253419195010854,2011,72,1,6,3,2011,4.175,4.175,3.5,3.5,5.0,5.0,7.0,7.0,1.2,1.2,1,2,,,20.0,1,2015-03-17 15:12:14,
311810877489998,253419195010854,2011,72,1,6,4,2011,3.4,3.4,2.3,2.3,3.8,3.8,4.6,4.6,2.9,2.9,1,2,,,6.3,1,2015-03-17 15:12:14,
311817843489998,253419292010854,2011,72,9,1,2,2011,2.2,2.2,2.8,2.8,1.7,1.7,2.1,2.1,2.2,2.2,1,2,9.0,9.0,4.8,1,2015-03-17 15:12:15,
311817844489998,253419292010854,2011,72,9,1,3,2011,1.55,1.55,1.0,1.0,2.1,2.1,1.6,1.6,1.5,1.5,1,2,,,3.5,1,2015-03-17 15:12:15,
311817845489998,253419292010854,2011,72,9,1,4,2011,1.525,1.525,1.0,1.0,1.8,1.8,2.1,2.1,1.2,1.2,1,2,,,11.5,1,2015-03-17 15:12:15,
311816379489998,253419267010854,2011,72,13,4,4,2011,2.15,2.0,1.7,1.7,2.8,2.5,1.9,1.9,2.2,1.9,1,2,,,20.0,1,2015-03-17 15:12:15,
311811880489998,253419208010854,2011,72,9,2,2,2011,1.225,1.225,0.7,0.7,1.8,1.8,0.9,0.9,1.5,1.5,1,2,2.0,2.0,8.9,1,2015-03-17 15:12:14,
311811881489998,253419208010854,2011,72,9,2,3,2011,5.2,4.55,2.0,1.7,8.5,7.5,2.3,2.0,8.0,7.0,1,2,,,14.2,1,2015-03-17 15:12:14,
311811882489998,253419208010854,2011,72,9,2,4,2011,2.825,2.825,2.8,2.8,3.8,3.8,2.7,2.7,2.0,2.0,1,2,,,5.6,1,2015-03-17 15:12:14,
311816377489998,253419267010854,2011,72,13,4,2,2011,1.7,1.7,1.6,1.6,2.4,2.4,1.6,1.6,1.2,1.2,1,2,2.0,2.0,20.0,1,2015-03-17 15:12:15,
311816378489998,253419267010854,2011,72,13,4,3,2011,1.375,1.375,1.0,1.0,1.6,1.6,1.7,1.7,1.2,1.2,1,2,,,20.0,1,2015-03-17 15:12:15,
311815869489998,253419266010854,2011,72,13,5,2,2011,1.0,1.0,1.8,1.8,0.5,0.5,0.7,0.7,1.0,1.0,1,2,2.0,2.0,20.0,1,2015-03-17 15:12:15,
311815872489998,253419266010854,2011,72,13,5,3,2011,1.55,1.55,1.9,1.9,2.3,2.3,1.1,1.1,0.9,0.9,1,2,,,4.9,1,2015-03-17 15:12:15,
311815875489998,253419266010854,2011,72,13,5,4,2011,1.675,1.675,1.3,1.3,1.1,1.1,1.8,1.8,2.5,2.5,1,2,,,3.8,1,2015-03-17 15:12:15,
311817054489998,253419279010854,2011,72,13,10,2,2011,,,,,,,,,,,1,2,,,,2,2015-03-17 15:12:15,
311817055489998,253419279010854,2011,72,13,10,3,2011,3.475,1.925,5.3,1.2,1.5,1.3,4.4,3.0,2.7,2.2,2,2,,,0.0,1,2015-03-17 15:12:15,
311817056489998,253419279010854,2011,72,13,10,4,2011,,,,,,,,,,,1,2,,,,2,2015-03-17 15:12:15,
311813572489998,253419230010854,2011,72,13,12,2,2011,,,,,,,,,,,1,2,,,,2,2015-03-17 15:12:14,
311813573489998,253419230010854,2011,72,13,12,3,2011,,,,,,,,,,,1,2,,,,2,2015-03-17 15:12:14,
311813574489998,253419230010854,2011,72,13,12,4,2011,6.625,3.875,5.0,2.0,8.0,5.0,6.5,4.0,7.0,4.5,2,2,,,3.1,1,2015-03-17 15:12:14,
311813128489998,253419226010854,2011,72,23,15,2,2011,2.025,2.025,1.9,1.9,1.8,1.8,1.8,1.8,2.6,2.6,1,2,2.0,2.0,4.0,1,2015-03-17 15:12:14,
311813129489998,253419226010854,2011,72,23,15,3,2011,2.0,2.0,1.5,1.5,2.0,2.0,2.5,2.5,2.0,2.0,1,2,,,3.5,1,2015-03-17 15:12:14,
311813130489998,253419226010854,2011,72,23,15,4,2011,3.525,3.525,2.5,2.5,3.0,3.0,2.6,2.6,6.0,6.0,1,2,,,3.3,1,2015-03-17 15:12:14,
311809764489998,253419179010854,2011,72,23,16,3,2011,0.975,0.975,1.3,1.3,0.9,0.9,0.6,0.6,1.1,1.1,1,2,,,1.5,1,2015-03-17 15:12:14,
311809765489998,253419179010854,2011,72,23,16,4,2011,1.325,1.325,2.3,2.3,1.4,1.4,0.8,0.8,0.8,0.8,1,2,,,4.0,1,2015-03-17 15:12:14,
311811470489998,253419206010854,2011,72,23,17,2,2011,,,,,,,,,,,1,2,,,,2,2015-03-17 15:12:14,
311811471489998,253419206010854,2011,72,23,17,3,2011,,,,,,,,,,,1,2,,,,2,2015-03-17 15:12:14,
311811472489998,253419206010854,2011,72,23,17,4,2011,1.225,1.225,0.1,0.1,2.0,2.0,1.3,1.3,1.5,1.5,2,2,,,3.1,1,2015-03-17 15:12:14,
311815668489998,253419262010854,2011,72,25,3,2,2011,1.975,1.925,2.3,2.2,3.5,3.4,1.0,1.0,1.1,1.1,1,2,1.0,1.0,3.1,1,2015-03-17 15:12:15,
311815669489998,253419262010854,2011,72,25,3,3,2011,1.125,1.125,1.3,1.3,1.3,1.3,1.2,1.2,0.7,0.7,1,2,,,1.3,1,2015-03-17 15:12:15,
311815670489998,253419262010854,2011,72,25,3,4,2011,1.375,1.375,1.5,1.5,0.5,0.5,1.5,1.5,2.0,2.0,1,2,,,3.6,1,2015-03-17 15:12:15,
311814067489998,253419239010854,2011,72,29,3,2,2011,1.175,1.175,1.8,1.8,0.4,0.4,1.5,1.5,1.0,1.0,1,2,2.0,2.0,15.4,1,2015-03-17 15:12:14,
