CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,MEASDAY,MEASMON,MEASYEAR,CREATED_DATE,MODIFIED_DATE,QA_STATUS
311810878489998,253419195010854,2011,72,1,6,19,9,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311817846489998,253419292010854,2011,72,9,1,26,4,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311811883489998,253419208010854,2011,72,9,2,9,5,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311816380489998,253419267010854,2011,72,13,4,7,9,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311815882489998,253419266010854,2011,72,13,5,15,9,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311817057489998,253419279010854,2011,72,13,10,29,9,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311813575489998,253419230010854,2011,72,13,12,3,11,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311813131489998,253419226010854,2011,72,23,15,22,3,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311809766489998,253419179010854,2011,72,23,16,6,4,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311811473489998,253419206010854,2011,72,23,17,4,4,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311817431489998,253419288010854,2011,72,23,19,7,4,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311815671489998,253419262010854,2011,72,25,3,28,11,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311814070489998,253419239010854,2011,72,29,3,9,2,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311812330489998,253419216010854,2011,72,35,4,23,2,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311815446489998,253419260010854,2011,72,37,18,2,3,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311814128489998,253419237010854,2011,72,39,5,27,4,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311815347489998,253419259010854,2011,72,45,1,25,4,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311809521489998,253419169010854,2011,72,55,8,11,7,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311810271489998,253419185010854,2011,72,55,12,8,6,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311810462489998,253419188010854,2011,72,55,17,19,8,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311812605489998,253419218010854,2011,72,57,8,28,9,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311809847489998,253419180010854,2011,72,57,13,4,5,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311817660489998,253419290010854,2011,72,59,5,19,7,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311809458489998,253419173010854,2011,72,59,12,14,7,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311816938489998,253419277010854,2011,72,65,4,20,6,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311816761489998,253419273010854,2011,72,65,5,27,6,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311812128489998,253419213010854,2011,72,69,1,9,6,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311812174489998,253419215010854,2011,72,69,5,15,2,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311817357489998,253419287010854,2011,72,71,2,11,10,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311818364489998,253419303010854,2011,72,71,7,28,6,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311810985489998,253419196010854,2011,72,73,13,1,9,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311818088489998,253419297010854,2011,72,73,15,15,8,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311809910489998,253419181010854,2011,72,75,5,14,6,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311812890489998,253419223010854,2011,72,75,9,30,8,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311810175489998,253419184010854,2011,72,79,6,15,7,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311810119489998,253419183010854,2011,72,79,9,8,7,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311815164489998,253419257010854,2011,72,81,8,20,9,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311815566489998,253419261010854,2011,72,83,2,29,3,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311817182489998,253419282010854,2011,72,87,3,30,12,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311814346489998,253419243010854,2011,72,89,5,28,2,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311816722489998,253419271010854,2011,72,91,1,22,2,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311816877489998,253419274010854,2011,72,93,4,15,3,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311811274489998,253419201010854,2011,72,93,6,16,3,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311810671489998,253419193010854,2011,72,97,39,5,4,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311815238489998,253419258010854,2011,72,97,168,31,3,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311810758489998,253419194010854,2011,72,97,196,30,3,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311813528489998,253419229010854,2011,72,101,2,2,5,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311818220489998,253419299010854,2011,72,103,13,12,9,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311815044489998,253419254010854,2011,72,103,14,16,8,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311811671489998,253419192010854,2011,72,107,7,8,9,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311812693489998,253419221010854,2011,72,109,2,10,5,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311810041489998,253419182010854,2011,72,109,4,16,5,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311817767489998,253419291010854,2011,72,109,6,3,5,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311813233489998,253419227010854,2011,72,109,9,11,5,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311813008489998,253419225010854,2011,72,111,7,20,4,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311817503489998,253419289010854,2011,72,113,24,15,6,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311818267489998,253419300010854,2011,72,117,3,10,3,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311814592489998,253419247010854,2011,72,119,5,14,2,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311814215489998,253419242010854,2011,72,119,25,13,6,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311811423489998,253419204010854,2011,72,121,2,21,7,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311810534489998,253419189010854,2011,72,123,5,5,5,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311809340489998,253419170010854,2011,72,123,9,25,5,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311812070489998,253419212010854,2011,72,125,3,9,3,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311813411489998,253419211010854,2011,72,125,5,23,3,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311811114489998,253419197010854,2011,72,125,9,8,3,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311811723489998,253419199010854,2011,72,129,6,10,2,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311813672489998,253419231010854,2011,72,131,2,22,6,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311813317489998,253419232010854,2011,72,131,5,27,6,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311810328489998,253419186010854,2011,72,133,2,12,5,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311813978489998,253419236010854,2011,72,135,1,1,12,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311813727489998,253419234010854,2011,72,139,1,8,11,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311814455489998,253419246010854,2011,72,141,2,29,6,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311817250489998,253419286010854,2011,72,143,1,18,8,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311816988489998,253419278010854,2011,72,145,8,24,2,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311811914489998,253419209010854,2011,72,149,1,7,6,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311811576489998,253419210010854,2011,72,149,4,31,8,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311812476489998,253419217010854,2011,72,153,1,20,7,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311809290489998,253419172010854,2011,72,153,2,19,3,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311809672489998,253419178010854,2011,72,153,3,12,7,2011,2015-03-17 15:12:14,2025-01-10 15:14:13,1
311817984489998,253419293010854,2011,72,153,11,13,7,2011,2015-03-17 15:12:15,2025-01-10 15:14:14,1
311812795489998,253419222010854,2011,72,153,12,29,8,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
312735426489998,219013688020004,2014,72,49,13,12,2,2015,2015-03-17 15:12:14,2025-01-10 15:14:14,1
312735198489998,219013498020004,2014,72,49,20,3,2,2015,2015-03-17 15:12:14,2025-01-10 15:14:14,1
312735269489998,219013534020004,2014,72,49,148,17,2,2015,2015-03-17 15:12:14,2025-01-10 15:14:14,1
312735343489998,219013535020004,2014,72,49,216,18,2,2015,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311807987489998,219013694020004,2014,72,147,5,24,6,2014,2015-03-17 15:12:14,2025-01-10 15:14:18,1
311809107489998,219013872020004,2014,72,147,8,21,5,2014,2015-03-17 15:12:14,2025-01-10 15:14:17,7
311808523489998,219013828020004,2014,72,147,89,3,7,2014,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311809190489998,219013875020004,2014,72,147,155,16,7,2014,2015-03-17 15:12:14,2025-01-10 15:14:17,1
311808458489998,219013816020004,2014,72,147,213,17,7,2014,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311807688489998,219013692020004,2014,72,147,253,22,4,2014,2015-03-17 15:12:14,2025-01-10 15:14:18,1
311813865489998,253419235010854,2011,72,89,3,1,3,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311814862489998,253419252010854,2011,72,37,3,11,8,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311814684489998,253419249010854,2011,72,63,2,16,2,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311814922489998,253419253010854,2011,72,107,8,21,6,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
311814775489998,253419251010854,2011,72,141,14,6,7,2011,2015-03-17 15:12:14,2025-01-10 15:14:14,1
