CN,PLT_CN,PREV_SBP_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,SUBP_STATUS_CD,POINT_NONSAMPLE_REASN_CD,MICRCOND,SUBPCOND,MACRCOND,CONDLIST,SLOPE,ASPECT,WATERDEP,P2A_GRM_FLG,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE,ROOT_DIS_SEV_CD_PNWRS,NF_SUBP_STATUS_CD,NF_SUBP_NONSAMPLE_REASN_CD,P2VEG_SUBP_STATUS_CD,P2VEG_SUBP_NONSAMPLE_REASN_CD,INVASIVE_SUBP_STATUS_CD,INVASIVE_NONSAMPLE_REASN_CD,CROWN_CLOSURE_ME_NERS,GROUND_TRAN_PTS_BARE_RMRS,GROUND_TRAN_PTS_CRYP_RMRS,GROUND_TRAN_PTS_DEV_RMRS,GROUND_TRAN_PTS_LICHEN_RMRS,GROUND_TRAN_PTS_LITTER_RMRS,GROUND_TRAN_PTS_MOSS_RMRS,GROUND_TRAN_PTS_NOTSAMP_RMRS,GROUND_TRAN_PTS_OTHER_RMRS,GROUND_TRAN_PTS_PEIS_RMRS,GROUND_TRAN_PTS_ROAD_RMRS,GROUND_TRAN_PTS_ROCK_RMRS,GROUND_TRAN_PTS_TRIS_RMRS,GROUND_TRAN_PTS_VEG_RMRS,GROUND_TRAN_PTS_WATER_RMRS,GROUND_TRAN_PTS_WOOD_RMRS,PREV_STATUSCD_RMRS,ROOTSEVCD_RMRS
308962816732862,308962524732862,,1990,72,1,1,275,101,2,,1,1,,1000,,0,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962815732862,308962524732862,,1990,72,1,1,275,102,2,,1,1,,1000,,0,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962814732862,308962524732862,,1990,72,1,1,275,103,2,,1,1,,1000,,0,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962819732862,308962525732862,,1990,72,1,1,276,101,1,,1,1,,1000,40,1,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962818732862,308962525732862,,1990,72,1,1,276,102,1,,1,1,,1000,65,260,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962817732862,308962525732862,,1990,72,1,1,276,103,1,,1,1,,1000,8,260,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962822732862,308962529732862,,1990,72,1,1,293,101,1,,1,1,,1000,45,140,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962821732862,308962529732862,,1990,72,1,1,293,102,1,,1,1,,1000,90,25,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962820732862,308962529732862,,1990,72,1,1,293,103,1,,1,1,,1000,80,190,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962825732862,308962530732862,,1990,72,1,1,295,101,1,,1,1,,1000,20,220,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962824732862,308962530732862,,1990,72,1,1,295,102,1,,1,1,,1000,65,240,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962823732862,308962530732862,,1990,72,1,1,295,103,1,,1,1,,1000,60,208,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962828732862,308962531732862,,1990,72,1,1,296,101,1,,1,1,,1000,5,290,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962827732862,308962531732862,,1990,72,1,1,296,102,1,,1,1,,1000,45,270,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962826732862,308962531732862,,1990,72,1,1,296,103,1,,1,1,,1000,45,350,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962831732862,308962535732862,,1990,72,1,1,312,101,1,,1,1,,1000,48,340,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962830732862,308962535732862,,1990,72,1,1,312,102,1,,1,1,,1000,24,48,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962829732862,308962535732862,,1990,72,1,1,312,103,1,,1,1,,1000,65,16,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962834732862,308962542732862,,1990,72,1,1,330,101,1,,1,1,,1000,65,354,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962833732862,308962542732862,,1990,72,1,1,330,102,1,,1,1,,1000,40,71,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962832732862,308962542732862,,1990,72,1,1,330,103,1,,1,1,,1000,80,1,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962837732862,308962543732862,,1990,72,1,1,331,101,1,,1,1,,1000,35,260,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962836732862,308962543732862,,1990,72,1,1,331,102,1,,1,1,,1000,50,258,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962835732862,308962543732862,,1990,72,1,1,331,103,1,,1,1,,1000,55,175,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962840732862,308962544732862,,1990,72,1,1,332,101,1,,1,1,,1000,30,50,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962839732862,308962544732862,,1990,72,1,1,332,102,1,,1,1,,1000,55,140,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962838732862,308962544732862,,1990,72,1,1,332,103,1,,1,1,,1000,40,32,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962843732862,308962545732862,,1990,72,1,1,333,101,2,,1,1,,1000,,0,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962842732862,308962545732862,,1990,72,1,1,333,102,2,,1,1,,1000,,0,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962841732862,308962545732862,,1990,72,1,1,333,103,2,,1,1,,1000,,0,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962846732862,308962547732862,,1990,72,1,1,348,101,1,,1,1,,1000,40,246,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962845732862,308962547732862,,1990,72,1,1,348,102,1,,1,1,,1000,55,233,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962844732862,308962547732862,,1990,72,1,1,348,103,1,,1,1,,1000,50,332,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
308962849732862,308962548732862,,1990,72,1,1,349,101,1,,1,1,,1000,24,14,,,2022-09-27 07:33:49,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
