CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,CREATED_DATE,MODIFIED_DATE,MICRCOND_PROP,SUBPCOND_PROP,MACRCOND_PROP,NONFR_INCL_PCT_SUBP,NONFR_INCL_PCT_MACRO,CYCLE,SUBCYCLE
6219848020004,249603590010854,2001,72,1,3,1,1,1,2011-09-29 10:26:22,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6219849020004,249603590010854,2001,72,1,3,1,2,1,2011-09-29 10:26:22,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6219850020004,249603590010854,2001,72,1,3,1,3,1,2011-09-29 10:26:22,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6219851020004,249603590010854,2001,72,1,3,1,4,1,2011-09-29 10:26:22,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236261020004,249603591010854,2001,72,1,5,2,1,1,2011-09-29 10:50:41,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236262020004,249603591010854,2001,72,1,5,2,2,1,2011-09-29 10:50:41,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236263020004,249603591010854,2001,72,1,5,2,3,1,2011-09-29 10:50:41,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236264020004,249603591010854,2001,72,1,5,2,4,1,2011-09-29 10:50:41,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6234749020004,249603592010854,2001,72,1,9,2,1,1,2011-09-29 10:44:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6234750020004,249603592010854,2001,72,1,9,2,2,1,2011-09-29 10:44:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6234751020004,249603592010854,2001,72,1,9,2,3,1,2011-09-29 10:44:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6234752020004,249603592010854,2001,72,1,9,2,4,1,2011-09-29 10:44:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236273020004,249603595010854,2001,72,1,13,10,1,1,2011-09-29 10:50:42,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236274020004,249603595010854,2001,72,1,13,10,2,1,2011-09-29 10:50:42,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236275020004,249603595010854,2001,72,1,13,10,3,1,2011-09-29 10:50:42,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236276020004,249603595010854,2001,72,1,13,10,4,1,2011-09-29 10:50:42,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236269020004,249603594010854,2001,72,1,13,12,1,1,2011-09-29 10:50:42,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236270020004,249603594010854,2001,72,1,13,12,2,1,2011-09-29 10:50:42,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236271020004,249603594010854,2001,72,1,13,12,3,1,2011-09-29 10:50:42,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236272020004,249603594010854,2001,72,1,13,12,4,2,2011-09-29 10:50:42,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236265020004,249603593010854,2001,72,1,13,15,1,1,2011-09-29 10:50:42,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236266020004,249603593010854,2001,72,1,13,15,2,1,2011-09-29 10:50:42,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236267020004,249603593010854,2001,72,1,13,15,3,1,2011-09-29 10:50:42,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236268020004,249603593010854,2001,72,1,13,15,4,1,2011-09-29 10:50:42,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236277020004,249603596010854,2001,72,1,19,5,1,1,2011-09-29 10:50:42,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236281020004,249603597010854,2001,72,1,23,17,1,1,2011-09-29 10:50:42,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236278020004,249603596010854,2001,72,1,19,5,2,1,2011-09-29 10:50:42,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236279020004,249603596010854,2001,72,1,19,5,3,1,2011-09-29 10:50:42,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236280020004,249603596010854,2001,72,1,19,5,4,1,2011-09-29 10:50:42,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236282020004,249603597010854,2001,72,1,23,17,2,1,2011-09-29 10:50:42,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236283020004,249603597010854,2001,72,1,23,17,3,1,2011-09-29 10:50:42,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236284020004,249603597010854,2001,72,1,23,17,4,1,2011-09-29 10:50:42,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236285020004,249603598010854,2001,72,1,25,5,1,1,2011-09-29 10:50:42,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236286020004,249603598010854,2001,72,1,25,5,2,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236287020004,249603598010854,2001,72,1,25,5,3,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236288020004,249603598010854,2001,72,1,25,5,4,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236289020004,249603599010854,2001,72,1,27,1,1,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236290020004,249603599010854,2001,72,1,27,1,2,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236291020004,249603599010854,2001,72,1,27,1,3,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236292020004,249603599010854,2001,72,1,27,1,4,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236293020004,249603600010854,2001,72,1,29,3,1,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236294020004,249603600010854,2001,72,1,29,3,2,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236295020004,249603600010854,2001,72,1,29,3,3,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236296020004,249603600010854,2001,72,1,29,3,4,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236301020004,249603602010854,2001,72,1,35,5,1,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236302020004,249603602010854,2001,72,1,35,5,2,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236303020004,249603602010854,2001,72,1,35,5,3,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236304020004,249603602010854,2001,72,1,35,5,4,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236297020004,249603601010854,2001,72,1,35,9,1,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236298020004,249603601010854,2001,72,1,35,9,2,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236299020004,249603601010854,2001,72,1,35,9,3,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236300020004,249603601010854,2001,72,1,35,9,4,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
