CN,STATECD,SUBP,SUBPTYP,PLT_CN,CONDID,PREV_PLT_CN,PREVCOND,SUBPTYP_PROP_CHNG,CREATED_DATE,MODIFIED_DATE
1737545453290487,72,3,1,385662803489998,1,253419289010854,2,1.0,2024-12-18 10:23:28,
1737545454290487,72,4,1,385662803489998,1,253419289010854,2,1.0,2024-12-18 10:23:28,
1737545455290487,72,1,2,385662803489998,1,253419289010854,1,1.0,2024-12-18 10:23:28,
1737545456290487,72,2,2,385662803489998,1,253419289010854,1,1.0,2024-12-18 10:23:28,
1737545457290487,72,3,2,385662803489998,1,253419289010854,2,1.0,2024-12-18 10:23:28,
1737545458290487,72,4,2,385662803489998,1,253419289010854,2,1.0,2024-12-18 10:23:28,
1737545503290487,72,2,1,385662805489998,1,253419204010854,1,1.0,2024-12-18 10:23:32,
1737545504290487,72,3,1,385662805489998,1,253419204010854,1,1.0,2024-12-18 10:23:32,
1737545505290487,72,4,1,385662805489998,1,253419204010854,1,1.0,2024-12-18 10:23:32,
1737545506290487,72,1,2,385662805489998,1,253419204010854,1,1.0,2024-12-18 10:23:32,
1737545502290487,72,1,1,385662805489998,1,253419204010854,1,1.0,2024-12-18 10:23:32,
1737545507290487,72,2,2,385662805489998,1,253419204010854,1,1.0,2024-12-18 10:23:32,
1737545508290487,72,3,2,385662805489998,1,253419204010854,1,1.0,2024-12-18 10:23:32,
1737545509290487,72,4,2,385662805489998,1,253419204010854,1,1.0,2024-12-18 10:23:32,
1737545775290487,72,2,1,385662806489998,1,253419205010854,1,1.0,2024-12-18 10:23:50,
1737545776290487,72,3,1,385662806489998,1,253419205010854,1,1.0,2024-12-18 10:23:50,
1737545777290487,72,4,1,385662806489998,1,253419205010854,1,1.0,2024-12-18 10:23:50,
1737545778290487,72,1,2,385662806489998,1,253419205010854,1,1.0,2024-12-18 10:23:50,
1737545779290487,72,2,2,385662806489998,1,253419205010854,1,1.0,2024-12-18 10:23:50,
1737545780290487,72,3,2,385662806489998,1,253419205010854,1,1.0,2024-12-18 10:23:50,
1737545781290487,72,4,2,385662806489998,1,253419205010854,1,1.0,2024-12-18 10:23:50,
1737545774290487,72,1,1,385662806489998,1,253419205010854,1,1.0,2024-12-18 10:23:50,
1737544858290487,72,1,1,385662807489998,1,253419206010854,1,1.0,2024-12-18 10:23:07,
1737544859290487,72,2,1,385662807489998,1,253419206010854,1,1.0,2024-12-18 10:23:07,
1737544860290487,72,3,1,385662807489998,1,253419206010854,1,1.0,2024-12-18 10:23:07,
1737544861290487,72,4,1,385662807489998,2,253419206010854,2,1.0,2024-12-18 10:23:07,
1737544862290487,72,1,2,385662807489998,1,253419206010854,1,1.0,2024-12-18 10:23:07,
1737544863290487,72,2,2,385662807489998,1,253419206010854,1,1.0,2024-12-18 10:23:07,
1737544864290487,72,3,2,385662807489998,1,253419206010854,1,1.0,2024-12-18 10:23:07,
1737544865290487,72,4,2,385662807489998,2,253419206010854,2,1.0,2024-12-18 10:23:07,
1737544763290487,72,1,2,385662809489998,1,253419208010854,1,1.0,2024-12-18 10:23:03,
1737544764290487,72,2,2,385662809489998,1,253419208010854,1,1.0,2024-12-18 10:23:03,
1737544765290487,72,3,2,385662809489998,1,253419208010854,1,1.0,2024-12-18 10:23:03,
1737544766290487,72,4,2,385662809489998,1,253419208010854,1,1.0,2024-12-18 10:23:03,
1737544759290487,72,1,1,385662809489998,1,253419208010854,1,1.0,2024-12-18 10:23:03,
1737544760290487,72,2,1,385662809489998,1,253419208010854,1,1.0,2024-12-18 10:23:03,
1737544761290487,72,3,1,385662809489998,1,253419208010854,1,1.0,2024-12-18 10:23:03,
1737544762290487,72,4,1,385662809489998,1,253419208010854,1,1.0,2024-12-18 10:23:03,
1737545081290487,72,1,1,385662810489998,1,253419273010854,1,0.8209,2024-12-18 10:23:17,
1737545082290487,72,1,1,385662810489998,2,253419273010854,1,0.1791,2024-12-18 10:23:17,
1737545083290487,72,2,1,385662810489998,1,253419273010854,2,1.0,2024-12-18 10:23:17,
1737545084290487,72,3,1,385662810489998,1,253419273010854,1,1.0,2024-12-18 10:23:17,
1737545085290487,72,4,1,385662810489998,1,253419273010854,1,1.0,2024-12-18 10:23:17,
1737545086290487,72,1,2,385662810489998,1,253419273010854,1,0.6316,2024-12-18 10:23:19,
1737545087290487,72,1,2,385662810489998,2,253419273010854,1,0.3684,2024-12-18 10:23:19,
1737545088290487,72,2,2,385662810489998,1,253419273010854,2,1.0,2024-12-18 10:23:19,
1737545089290487,72,3,2,385662810489998,1,253419273010854,1,1.0,2024-12-18 10:23:19,
1737545090290487,72,4,2,385662810489998,1,253419273010854,1,1.0,2024-12-18 10:23:19,
1737545291290487,72,1,1,385662811489998,1,253419274010854,1,1.0,2024-12-18 10:23:19,
1737545292290487,72,2,1,385662811489998,1,253419274010854,1,1.0,2024-12-18 10:23:19,
