TRE_CN,PREV_TRE_CN,PLT_CN,STATECD,THRESHOLD_TYPE,SUBPTYP,SPCD,STATUSCD,DIA,HT,ACTUALHT,CR,STANDING_DEAD_CD,DIAHTCD,CULL,ROUGHCULL,CULLFORM,CULLMSTOP,DECAYCD,TREECLCD,HTDMP,WDLDSTEM,STDORGCD,SITREE,BALIVE,VOLTSGRS,VOLTSGRS_BARK,VOLTSSND,VOLTSSND_BARK,VOLCFGRS_STUMP,VOLCFGRS_STUMP_BARK,VOLCFSND_STUMP,VOLCFSND_STUMP_BARK,VOLCFGRS,VOLCFGRS_BARK,VOLCFGRS_TOP,VOLCFGRS_TOP_BARK,VOLCFSND,VOLCFSND_BARK,VOLCFSND_TOP,VOLCFSND_TOP_BARK,VOLCFNET,VOLCFNET_BARK,VOLCSGRS,VOLCSGRS_BARK,VOLCSSND,VOLCSSND_BARK,VOLCSNET,VOLCSNET_BARK,VOLBFGRS,VOLBFNET,VOLBSGRS,VOLBSNET,DRYBIO_STEM,DRYBIO_STEM_BARK,DRYBIO_STUMP,DRYBIO_STUMP_BARK,DRYBIO_BOLE,DRYBIO_BOLE_BARK,DRYBIO_BRANCH,DRYBIO_FOLIAGE,DRYBIO_AG,DRYBIO_BG,CARBON_AG,CARBON_BG,DRYBIO_SAWLOG,DRYBIO_SAWLOG_BARK,CREATED_DATE,MODIFIED_DATE
311803107489998,,197190651020004,72,SUBPLOT,,6443,1,5.0,38,38,10,,1,0,,,,,3,,,0,,182.6871,,,,,,,,,1.432253,,,,1.432253,,,,1.432253,,,,,,,,,,,,,,,,,,,2.730358,106.124453,17.657851,50.409115,8.387479,,,2024-12-18 10:10:19,
311803119489998,249713778010854,197190651020004,72,SUBPLOT,,6835,1,5.0,29,29,15,,1,0,,,,,3,,,0,,182.6871,,,,,,,,,1.237033,,,,1.237033,,,,1.237033,,,,,,,,,,,,,,,,,,,2.730358,82.091681,15.251038,38.993548,7.244243,,,2024-12-18 10:10:19,
311803290489998,,197190653020004,72,MICROPLOT,,7807,1,1.0,12,12,10,,1,,,,,,2,,,0,,144.5993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319776,1.668016,0.399217,0.792308,0.189628,,,2024-12-18 10:10:18,
311803292489998,,197190653020004,72,MICROPLOT,,6686,1,1.0,8,8,5,,1,,,,,,2,,,0,,144.5993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319776,1.134785,0.399217,0.539023,0.189628,,,2024-12-18 10:10:18,
311803293489998,,197190653020004,72,MICROPLOT,,6686,1,1.0,8,8,5,,1,,,,,,2,,,0,,144.5993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319776,1.134785,0.399217,0.539023,0.189628,,,2024-12-18 10:10:18,
311803493489998,,197190656020004,72,SUBPLOT,,6790,1,5.0,36,36,30,,1,0,,,,,3,,,0,,111.5768,,,,,,,,,1.499408,,,,1.499408,,,,1.499408,,,,,,,,,,,,,,,,,,,2.730358,137.11869,18.485786,65.131378,8.780749,,,2024-12-18 10:10:08,
311803506489998,249713965010854,197190656020004,72,SUBPLOT,,7474,1,5.0,40,40,35,,1,0,,,,,3,,,0,,111.5768,,,,,,,,,2.064309,,,,2.064309,,,,2.064309,,,,,,,,,,,,,,,,,,,2.730358,148.896818,25.450295,67.003568,11.452633,,,2024-12-18 10:10:08,
311803508489998,,197190656020004,72,SUBPLOT,,7474,1,5.0,42,42,25,,1,0,,,,,3,5.5,,0,,111.5768,,,,,,,,,2.139272,,,,2.139272,,,,2.139272,,,,,,,,,,,,,,,,,,,2.730358,154.688638,26.374493,69.609887,11.868522,,,2024-12-18 10:10:08,
311803509489998,,197190656020004,72,SUBPLOT,,8644,1,5.0,30,30,20,,1,0,,,,,3,,,0,,111.5768,,,,,,,,,1.392417,,,,1.392417,,,,1.392417,,,,,,,,,,,,,,,,,,,2.730358,118.895614,17.166724,56.475417,8.154194,,,2024-12-18 10:10:08,
311803511489998,,197190656020004,72,SUBPLOT,,7290,1,5.0,25,25,55,,1,0,,,,,3,,,0,,111.5768,,,,,,,,,0.961343,,,,0.961343,,,,0.961343,,,,,,,,,,,,,,,,,,,2.730358,103.094386,11.852132,50.206966,5.771988,,,2024-12-18 10:10:08,
