CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,TREE,TRE_CN,DIA,STATUSCD,STEM_NBR,CYCLE,SUBCYCLE,CREATED_DATE,MODIFIED_DATE
489758815126144,441097103489998,2017,72,1,113,14.0,1.0,31,489758785126144,3.1,1,1,6,2,2017-11-01 14:35:32,
489758816126144,441097103489998,2017,72,1,113,14.0,2.0,10,489758788126144,3.7,1,1,6,2,2017-11-01 14:35:32,
489758817126144,441097103489998,2017,72,1,113,14.0,2.0,11,489758789126144,3.8,1,1,6,2,2017-11-01 14:35:32,
699054434126144,548974503126144,2019,72,3,49,115.0,2.0,5,699054424126144,2.8,1,1,6,4,2019-09-12 07:31:02,
699054658126144,548974530126144,2019,72,3,49,148.0,1.0,9,699054645126144,1.1,1,1,6,4,2019-09-12 07:31:03,
699054659126144,548974530126144,2019,72,3,49,148.0,1.0,10,699054646126144,1.2,1,1,6,4,2019-09-12 07:31:03,
699054660126144,548974530126144,2019,72,3,49,148.0,1.0,11,699054647126144,1.1,1,1,6,4,2019-09-12 07:31:03,
699054661126144,548974530126144,2019,72,3,49,148.0,2.0,1,699054648126144,1.0,1,1,6,4,2019-09-12 07:31:03,
699054662126144,548974530126144,2019,72,3,49,148.0,2.0,2,699054649126144,1.0,1,1,6,4,2019-09-12 07:31:03,
699054856126144,548974538126144,2019,72,3,49,112.0,2.0,20,699054848126144,1.2,1,1,6,4,2019-09-12 07:31:03,
699055094126144,548974679126144,2019,72,3,49,13.0,1.0,1,699055076126144,2.0,2,1,6,4,2019-09-12 07:31:06,
699055095126144,548974679126144,2019,72,3,49,13.0,1.0,2,699055077126144,1.9,2,1,6,4,2019-09-12 07:31:06,
699055096126144,548974679126144,2019,72,3,49,13.0,1.0,3,699055078126144,1.5,2,1,6,4,2019-09-12 07:31:06,
699055097126144,548974679126144,2019,72,3,49,13.0,1.0,4,699055079126144,1.9,1,1,6,4,2019-09-12 07:31:06,
699055098126144,548974679126144,2019,72,3,49,13.0,1.0,5,699055080126144,2.4,2,1,6,4,2019-09-12 07:31:06,
699055099126144,548974679126144,2019,72,3,49,13.0,1.0,6,699055081126144,1.7,1,1,6,4,2019-09-12 07:31:06,
489758818126144,441097103489998,2017,72,1,113,14.0,2.0,19,489758797126144,1.4,1,1,6,2,2017-11-01 14:35:32,
489758819126144,441097103489998,2017,72,1,113,14.0,2.0,22,489758800126144,2.0,2,1,6,2,2017-11-01 14:35:32,
489758820126144,441097103489998,2017,72,1,113,14.0,3.0,20,489758806126144,1.9,1,1,6,2,2017-11-01 14:35:32,
489758821126144,441097103489998,2017,72,1,113,14.0,3.0,21,489758807126144,1.8,1,1,6,2,2017-11-01 14:35:32,
489758822126144,441097103489998,2017,72,1,113,14.0,3.0,26,489758812126144,5.3,1,1,6,2,2017-11-01 14:35:32,
699054433126144,548974503126144,2019,72,3,49,115.0,2.0,3,699054423126144,1.2,1,1,6,4,2019-09-12 07:31:02,
699055546126144,548974685126144,2019,72,2,147,5.0,2.0,30,699055524126144,5.7,1,1,6,4,2019-09-12 07:31:07,
699056762126144,548974819126144,2019,72,2,147,66.0,2.0,11,699056747126144,1.1,1,1,6,4,2019-09-12 07:31:11,
699057728126144,548974860126144,2019,72,2,147,8.0,1.0,6,699057716126144,1.7,1,1,6,4,2019-09-12 07:31:12,
699057729126144,548974860126144,2019,72,2,147,8.0,3.0,12,699057727126144,1.0,1,1,6,4,2019-09-12 07:31:12,
311802997489998,197190611020004,2013,72,1,55,11.0,1.0,2,311802980489998,2.0,1,1,5,3,2015-03-11 14:22:14,
311802998489998,197190611020004,2013,72,1,55,11.0,1.0,3,311802981489998,2.1,1,1,5,3,2015-03-11 14:22:14,
311806957489998,197190766020004,2013,72,1,133,1.0,2.0,14,311806939489998,9.0,1,1,5,3,2015-03-11 14:22:22,
311806958489998,197190766020004,2013,72,1,133,1.0,2.0,15,311806940489998,4.8,1,1,5,3,2015-03-11 14:22:22,
311806959489998,197190766020004,2013,72,1,133,1.0,2.0,23,311806942489998,5.2,1,1,5,3,2015-03-11 14:22:22,
311806960489998,197190766020004,2013,72,1,133,1.0,2.0,24,311806943489998,5.3,1,1,5,3,2015-03-11 14:22:22,
311806961489998,197190766020004,2013,72,1,133,1.0,2.0,25,311806944489998,2.3,1,1,5,3,2015-03-11 14:22:22,
1557689151290487,905377415290487,2022,72,1,113,14.0,1.0,31,1557689119290487,3.4,1,1,7,2,2024-05-24 09:02:00,
1557689152290487,905377415290487,2022,72,1,113,14.0,2.0,10,1557689122290487,4.0,1,1,7,2,2024-05-24 09:02:00,
1557689153290487,905377415290487,2022,72,1,113,14.0,2.0,11,1557689123290487,4.7,1,1,7,2,2024-05-24 09:02:00,
1557689154290487,905377415290487,2022,72,1,113,14.0,3.0,27,1557689148290487,7.8,1,1,7,2,2024-05-24 09:02:00,
1557689155290487,905377415290487,2022,72,1,113,14.0,3.0,28,1557689149290487,7.1,1,1,7,2,2024-05-24 09:02:00,
1557690394290487,905377426290487,2022,72,1,57,5.0,4.0,1,1557690389290487,1.3,1,1,7,2,2024-05-24 09:02:00,
1557690395290487,905377426290487,2022,72,1,57,5.0,4.0,2,1557690390290487,1.1,1,1,7,2,2024-05-24 09:02:00,
1557690396290487,905377426290487,2022,72,1,57,5.0,4.0,3,1557690391290487,1.1,1,1,7,2,2024-05-24 09:02:00,
1557690397290487,905377426290487,2022,72,1,57,5.0,4.0,4,1557690392290487,1.5,1,1,7,2,2024-05-24 09:02:00,
1668809771290487,1309436241290487,2024,72,3,49,20.0,2.0,2,1668809768290487,1.0,1,1,7,4,2024-08-12 09:26:24,
1668809772290487,1309436241290487,2024,72,3,49,20.0,2.0,3,1668809769290487,5.3,1,1,7,4,2024-08-12 09:26:24,
1668809773290487,1309436241290487,2024,72,3,49,20.0,3.0,1,1668809770290487,1.1,1,1,7,4,2024-08-12 09:26:24,
1668809851290487,1309436249290487,2024,72,3,49,115.0,2.0,3,1668809839290487,1.3,1,1,7,4,2024-08-12 09:26:24,
1668809852290487,1309436249290487,2024,72,3,49,115.0,2.0,5,1668809840290487,2.7,2,1,7,4,2024-08-12 09:26:24,
1668810167290487,1309436276290487,2024,72,3,49,148.0,2.0,1,1668810156290487,1.6,1,1,7,4,2024-08-12 09:26:25,
1668810050290487,1309436299290487,2024,72,3,49,152.0,2.0,2,1668810037290487,1.0,1,1,7,4,2024-08-12 09:26:26,
1668810051290487,1309436299290487,2024,72,3,49,152.0,2.0,3,1668810038290487,1.9,1,1,7,4,2024-08-12 09:26:26,
1668810052290487,1309436299290487,2024,72,3,49,152.0,3.0,11,1668810042290487,1.1,1,1,7,4,2024-08-12 09:26:26,
1668812539290487,1309436430290487,2024,72,2,147,5.0,2.0,30,1668812511290487,6.3,1,1,7,4,2024-08-12 09:26:12,
1668812043290487,1309436547290487,2024,72,2,147,2.0,4.0,5,1668812037290487,1.1,1,1,7,4,2024-08-12 09:26:17,
1668812648290487,1309436567290487,2024,72,2,147,129.0,3.0,1,1668812644290487,6.0,1,1,7,4,2024-08-12 09:26:18,
1668812605290487,1309436570290487,2024,72,2,147,205.0,2.0,1,1668812594290487,6.8,1,1,7,4,2024-08-12 09:26:18,
1668812606290487,1309436570290487,2024,72,2,147,205.0,3.0,1,1668812602290487,5.4,1,1,7,4,2024-08-12 09:26:18,
1668811243290487,1309436585290487,2024,72,2,147,221.0,1.0,8,1668811224290487,2.5,1,1,7,4,2024-08-12 09:26:19,
1668811244290487,1309436585290487,2024,72,2,147,221.0,2.0,9,1668811230290487,1.3,2,1,7,4,2024-08-12 09:26:19,
1668811484290487,1309436604290487,2024,72,2,147,8.0,1.0,6,1668811462290487,1.3,1,1,7,4,2024-08-12 09:26:19,
1668811485290487,1309436604290487,2024,72,2,147,8.0,1.0,9,1668811465290487,1.1,1,1,7,4,2024-08-12 09:26:19,
1668811486290487,1309436604290487,2024,72,2,147,8.0,2.0,3,1668811468290487,1.6,1,1,7,4,2024-08-12 09:26:19,
1668811487290487,1309436604290487,2024,72,2,147,8.0,2.0,4,1668811469290487,1.6,1,1,7,4,2024-08-12 09:26:19,
1668811488290487,1309436604290487,2024,72,2,147,8.0,2.0,5,1668811470290487,1.2,1,1,7,4,2024-08-12 09:26:19,
1668811489290487,1309436604290487,2024,72,2,147,8.0,2.0,6,1668811471290487,1.1,1,1,7,4,2024-08-12 09:26:19,
1668811490290487,1309436604290487,2024,72,2,147,8.0,3.0,12,1668811480290487,1.3,1,1,7,4,2024-08-12 09:26:19,
311808300489998,219013788020004,2014,72,2,147,198.0,2.0,3,311808291489998,5.2,1,1,5,3,2015-03-11 14:22:30,
311808784489998,219013850020004,2014,72,2,147,73.0,1.0,24,311808766489998,5.0,2,1,5,3,2015-03-11 14:22:32,
311808856489998,219013852020004,2014,72,2,147,70.0,4.0,19,311808855489998,2.4,1,1,5,3,2015-03-11 14:22:32,
311808882489998,219013853020004,2014,72,2,147,221.0,4.0,10,311808880489998,7.0,1,1,5,3,2015-03-11 14:22:32,
489758814126144,441097103489998,2017,72,1,113,14.0,1.0,22,489758776126144,2.1,1,1,6,2,2017-11-01 14:35:32,
311819228489998,29590529020004,2012,72,1,75,8.0,3.0,6,311819225489998,1.9,1,1,5,2,2015-03-11 14:22:44,
311819229489998,29590529020004,2012,72,1,75,8.0,3.0,7,311819226489998,1.2,1,1,5,2,2015-03-11 14:22:44,
311819493489998,29590531020004,2012,72,1,113,14.0,1.0,22,311819396489998,1.7,1,1,5,2,2015-03-11 14:22:45,
311819494489998,29590531020004,2012,72,1,113,14.0,1.0,31,311819405489998,2.5,1,1,5,2,2015-03-11 14:22:45,
311819495489998,29590531020004,2012,72,1,113,14.0,2.0,10,311819456489998,2.6,1,1,5,2,2015-03-11 14:22:45,
311819496489998,29590531020004,2012,72,1,113,14.0,2.0,11,311819457489998,2.6,1,1,5,2,2015-03-11 14:22:45,
311819497489998,29590531020004,2012,72,1,113,14.0,2.0,22,311819468489998,1.8,1,1,5,2,2015-03-11 14:22:45,
311819498489998,29590531020004,2012,72,1,113,14.0,3.0,20,311819483489998,1.7,1,1,5,2,2015-03-11 14:22:45,
311819499489998,29590531020004,2012,72,1,113,14.0,3.0,21,311819484489998,1.4,1,1,5,2,2015-03-11 14:22:45,
311806963489998,197190766020004,2013,72,1,133,1.0,3.0,8,311806946489998,5.6,1,1,5,3,2015-03-11 14:22:22,
311802996489998,197190611020004,2013,72,1,55,11.0,1.0,1,311802979489998,5.3,1,1,5,3,2015-03-11 14:22:14,
311806964489998,197190766020004,2013,72,1,133,1.0,3.0,9,311806947489998,3.3,1,1,5,3,2015-03-11 14:22:22,
311806965489998,197190766020004,2013,72,1,133,1.0,3.0,10,311806948489998,4.7,1,1,5,3,2015-03-11 14:22:22,
311806966489998,197190766020004,2013,72,1,133,1.0,4.0,21,311806954489998,5.8,1,1,5,3,2015-03-11 14:22:22,
311807287489998,219013507020004,2014,72,3,49,115.0,2.0,2,311807279489998,2.1,1,1,5,3,2015-03-11 14:22:24,
