CN,PLT_CN,VVT_CN,VSB_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,QUADRAT,CONDID,QUADRAT_STATUS,QUADRAT_STATUS_PRE2004,TRAMPLING,CREATED_DATE,MODIFIED_DATE
250127611010854,249604485010854,250126677010854,250126755010854,2008,72,97,3,2,1,1,1,,1,2015-03-20 16:01:33,
250127612010854,249604485010854,250126677010854,250126755010854,2008,72,97,3,2,2,1,1,,1,2015-03-20 16:01:33,
250127613010854,249604485010854,250126677010854,250126755010854,2008,72,97,3,2,3,1,1,,1,2015-03-20 16:01:33,
250127614010854,249604485010854,250126677010854,250126757010854,2008,72,97,3,4,1,1,1,,1,2015-03-20 16:01:33,
250127615010854,249604485010854,250126677010854,250126757010854,2008,72,97,3,4,2,1,1,,1,2015-03-20 16:01:33,
250127616010854,249604485010854,250126677010854,250126757010854,2008,72,97,3,4,3,1,1,,1,2015-03-20 16:01:33,
250127653010854,249604494010854,250126684010854,250126783010854,2008,72,97,20,2,1,1,1,,1,2015-03-20 16:01:34,
250127654010854,249604494010854,250126684010854,250126783010854,2008,72,97,20,2,2,1,1,,1,2015-03-20 16:01:34,
250127655010854,249604494010854,250126684010854,250126783010854,2008,72,97,20,2,3,1,1,,1,2015-03-20 16:01:34,
250127656010854,249604494010854,250126684010854,250126785010854,2008,72,97,20,4,1,1,1,,1,2015-03-20 16:01:34,
250127657010854,249604494010854,250126684010854,250126785010854,2008,72,97,20,4,2,1,1,,1,2015-03-20 16:01:34,
250127658010854,249604494010854,250126684010854,250126785010854,2008,72,97,20,4,3,1,1,,1,2015-03-20 16:01:34,
250127623010854,249604488010854,250126679010854,250126763010854,2008,72,97,27,2,1,1,1,,1,2015-03-20 16:01:33,
250127624010854,249604488010854,250126679010854,250126763010854,2008,72,97,27,2,2,1,1,,1,2015-03-20 16:01:33,
250127625010854,249604488010854,250126679010854,250126763010854,2008,72,97,27,2,3,1,1,,1,2015-03-20 16:01:33,
250127626010854,249604488010854,250126679010854,250126765010854,2008,72,97,27,4,1,1,1,,1,2015-03-20 16:01:33,
250127627010854,249604488010854,250126679010854,250126765010854,2008,72,97,27,4,2,1,1,,1,2015-03-20 16:01:33,
250127628010854,249604488010854,250126679010854,250126765010854,2008,72,97,27,4,3,1,1,,1,2015-03-20 16:01:33,
250127737010854,249604510010854,250126698010854,250126719010854,2008,72,97,41,2,1,1,1,,1,2015-03-20 16:01:35,
250127738010854,249604510010854,250126698010854,250126719010854,2008,72,97,41,2,2,1,1,,1,2015-03-20 16:01:35,
250127739010854,249604510010854,250126698010854,250126719010854,2008,72,97,41,2,3,1,1,,1,2015-03-20 16:01:35,
250127740010854,249604510010854,250126698010854,250126721010854,2008,72,97,41,4,1,1,1,,1,2015-03-20 16:01:35,
250127741010854,249604510010854,250126698010854,250126721010854,2008,72,97,41,4,2,1,1,,1,2015-03-20 16:01:35,
250127742010854,249604510010854,250126698010854,250126721010854,2008,72,97,41,4,3,1,1,,1,2015-03-20 16:01:35,
250127659010854,249604495010854,250126685010854,250126787010854,2008,72,97,52,2,1,1,1,,1,2015-03-20 16:01:34,
250127660010854,249604495010854,250126685010854,250126787010854,2008,72,97,52,2,2,1,1,,1,2015-03-20 16:01:34,
250127661010854,249604495010854,250126685010854,250126787010854,2008,72,97,52,2,3,1,1,,1,2015-03-20 16:01:34,
250127662010854,249604495010854,250126685010854,250126789010854,2008,72,97,52,4,1,1,1,,1,2015-03-20 16:01:34,
250127663010854,249604495010854,250126685010854,250126789010854,2008,72,97,52,4,2,1,1,,1,2015-03-20 16:01:34,
250127664010854,249604495010854,250126685010854,250126789010854,2008,72,97,52,4,3,1,1,,1,2015-03-20 16:01:34,
250127749010854,249604512010854,250126700010854,250126727010854,2008,72,97,54,2,1,1,1,,1,2015-03-20 16:01:35,
250127750010854,249604512010854,250126700010854,250126727010854,2008,72,97,54,2,2,1,1,,1,2015-03-20 16:01:35,
250127751010854,249604512010854,250126700010854,250126727010854,2008,72,97,54,2,3,1,1,,1,2015-03-20 16:01:35,
250127752010854,249604512010854,250126700010854,250126741010854,2008,72,97,54,4,1,1,1,,1,2015-03-20 16:01:35,
250127753010854,249604512010854,250126700010854,250126741010854,2008,72,97,54,4,2,1,1,,1,2015-03-20 16:01:35,
250127754010854,249604512010854,250126700010854,250126741010854,2008,72,97,54,4,3,1,1,,1,2015-03-20 16:01:35,
250127635010854,249604490010854,250126681010854,250126771010854,2008,72,97,61,2,1,1,1,,1,2015-03-20 16:01:33,
250127636010854,249604490010854,250126681010854,250126771010854,2008,72,97,61,2,2,1,1,,1,2015-03-20 16:01:33,
250127637010854,249604490010854,250126681010854,250126771010854,2008,72,97,61,2,3,1,1,,1,2015-03-20 16:01:33,
250127638010854,249604490010854,250126681010854,250126773010854,2008,72,97,61,4,1,1,1,,2,2015-03-20 16:01:33,
250127639010854,249604490010854,250126681010854,250126773010854,2008,72,97,61,4,2,1,1,,2,2015-03-20 16:01:33,
250127640010854,249604490010854,250126681010854,250126773010854,2008,72,97,61,4,3,1,1,,2,2015-03-20 16:01:33,
250127710010854,249604504010854,250126693010854,250126713010854,2008,72,97,62,4,1,1,1,,1,2015-03-20 16:01:34,
250127707010854,249604504010854,250126693010854,250126711010854,2008,72,97,62,2,1,1,1,,1,2015-03-20 16:01:34,
250127708010854,249604504010854,250126693010854,250126711010854,2008,72,97,62,2,2,1,1,,1,2015-03-20 16:01:34,
250127709010854,249604504010854,250126693010854,250126711010854,2008,72,97,62,2,3,1,1,,1,2015-03-20 16:01:34,
250127711010854,249604504010854,250126693010854,250126713010854,2008,72,97,62,4,2,1,1,,1,2015-03-20 16:01:34,
250127712010854,249604504010854,250126693010854,250126713010854,2008,72,97,62,4,3,1,1,,1,2015-03-20 16:01:34,
250127743010854,249604511010854,250126699010854,250126723010854,2008,72,97,66,2,1,1,1,,1,2015-03-20 16:01:35,
250127744010854,249604511010854,250126699010854,250126723010854,2008,72,97,66,2,2,1,1,,1,2015-03-20 16:01:35,
250127745010854,249604511010854,250126699010854,250126723010854,2008,72,97,66,2,3,1,1,,1,2015-03-20 16:01:35,
250127746010854,249604511010854,250126699010854,250126725010854,2008,72,97,66,4,1,1,1,,1,2015-03-20 16:01:35,
250127747010854,249604511010854,250126699010854,250126725010854,2008,72,97,66,4,2,1,1,,1,2015-03-20 16:01:35,
250127748010854,249604511010854,250126699010854,250126725010854,2008,72,97,66,4,3,1,1,,1,2015-03-20 16:01:35,
250127713010854,249604505010854,250126694010854,250126715010854,2008,72,97,75,2,1,1,1,,1,2015-03-20 16:01:34,
250127714010854,249604505010854,250126694010854,250126715010854,2008,72,97,75,2,2,1,1,,1,2015-03-20 16:01:34,
250127715010854,249604505010854,250126694010854,250126715010854,2008,72,97,75,2,3,1,1,,1,2015-03-20 16:01:34,
250127716010854,249604505010854,250126694010854,250126729010854,2008,72,97,75,4,1,1,1,,1,2015-03-20 16:01:34,
250127717010854,249604505010854,250126694010854,250126729010854,2008,72,97,75,4,2,1,1,,1,2015-03-20 16:01:34,
250127718010854,249604505010854,250126694010854,250126729010854,2008,72,97,75,4,3,1,1,,1,2015-03-20 16:01:34,
250127677010854,249604498010854,250126688010854,250126799010854,2008,72,97,89,2,1,1,1,,1,2015-03-20 16:01:34,
250127678010854,249604498010854,250126688010854,250126799010854,2008,72,97,89,2,2,1,1,,1,2015-03-20 16:01:34,
250127679010854,249604498010854,250126688010854,250126799010854,2008,72,97,89,2,3,1,1,,1,2015-03-20 16:01:34,
250127680010854,249604498010854,250126688010854,250126801010854,2008,72,97,89,4,1,1,1,,1,2015-03-20 16:01:34,
250127681010854,249604498010854,250126688010854,250126801010854,2008,72,97,89,4,2,1,1,,1,2015-03-20 16:01:34,
250127682010854,249604498010854,250126688010854,250126801010854,2008,72,97,89,4,3,1,1,,1,2015-03-20 16:01:34,
250127725010854,249604508010854,250126696010854,250126735010854,2008,72,97,90,2,1,1,1,,1,2015-03-20 16:01:34,
250127719010854,249604507010854,250126695010854,250126731010854,2008,72,97,92,2,1,1,1,,1,2015-03-20 16:01:34,
250127720010854,249604507010854,250126695010854,250126731010854,2008,72,97,92,2,2,1,1,,1,2015-03-20 16:01:34,
250127721010854,249604507010854,250126695010854,250126731010854,2008,72,97,92,2,3,1,1,,1,2015-03-20 16:01:34,
250127722010854,249604507010854,250126695010854,250126733010854,2008,72,97,92,4,1,1,1,,1,2015-03-20 16:01:34,
250127723010854,249604507010854,250126695010854,250126733010854,2008,72,97,92,4,2,1,1,,1,2015-03-20 16:01:34,
250127724010854,249604507010854,250126695010854,250126733010854,2008,72,97,92,4,3,1,1,,1,2015-03-20 16:01:34,
250127647010854,249604493010854,250126683010854,250126779010854,2008,72,97,93,2,1,1,1,,1,2015-03-20 16:01:34,
250127648010854,249604493010854,250126683010854,250126779010854,2008,72,97,93,2,2,1,1,,1,2015-03-20 16:01:34,
250127649010854,249604493010854,250126683010854,250126779010854,2008,72,97,93,2,3,1,1,,1,2015-03-20 16:01:34,
250127650010854,249604493010854,250126683010854,250126781010854,2008,72,97,93,4,1,1,1,,1,2015-03-20 16:01:34,
250127651010854,249604493010854,250126683010854,250126781010854,2008,72,97,93,4,2,1,1,,1,2015-03-20 16:01:34,
250127652010854,249604493010854,250126683010854,250126781010854,2008,72,97,93,4,3,1,1,,1,2015-03-20 16:01:34,
250127605010854,249604484010854,250126676010854,250126751010854,2008,72,97,100,2,1,1,1,,1,2015-03-20 16:01:33,
250127606010854,249604484010854,250126676010854,250126751010854,2008,72,97,100,2,2,1,1,,1,2015-03-20 16:01:33,
250127607010854,249604484010854,250126676010854,250126751010854,2008,72,97,100,2,3,1,1,,1,2015-03-20 16:01:33,
250127608010854,249604484010854,250126676010854,250126753010854,2008,72,97,100,4,1,1,1,,1,2015-03-20 16:01:33,
250127609010854,249604484010854,250126676010854,250126753010854,2008,72,97,100,4,2,1,1,,1,2015-03-20 16:01:33,
250127610010854,249604484010854,250126676010854,250126753010854,2008,72,97,100,4,3,1,1,,1,2015-03-20 16:01:33,
250127689010854,249604501010854,250126690010854,250126807010854,2008,72,97,128,2,1,1,1,,1,2015-03-20 16:01:34,
250127690010854,249604501010854,250126690010854,250126807010854,2008,72,97,128,2,2,1,1,,1,2015-03-20 16:01:34,
250127691010854,249604501010854,250126690010854,250126807010854,2008,72,97,128,2,3,1,1,,1,2015-03-20 16:01:34,
250127692010854,249604501010854,250126690010854,250126809010854,2008,72,97,128,4,1,1,1,,1,2015-03-20 16:01:34,
250127693010854,249604501010854,250126690010854,250126809010854,2008,72,97,128,4,2,1,1,,1,2015-03-20 16:01:34,
250127694010854,249604501010854,250126690010854,250126809010854,2008,72,97,128,4,3,1,1,,1,2015-03-20 16:01:34,
250127755010854,249604513010854,250126701010854,250126743010854,2008,72,97,129,2,1,1,1,,1,2015-03-20 16:01:35,
250127756010854,249604513010854,250126701010854,250126743010854,2008,72,97,129,2,2,1,1,,1,2015-03-20 16:01:35,
250127757010854,249604513010854,250126701010854,250126743010854,2008,72,97,129,2,3,1,1,,1,2015-03-20 16:01:35,
250127758010854,249604513010854,250126701010854,250126745010854,2008,72,97,129,4,1,1,1,,1,2015-03-20 16:01:35,
250127759010854,249604513010854,250126701010854,250126745010854,2008,72,97,129,4,2,1,1,,1,2015-03-20 16:01:35,
250127760010854,249604513010854,250126701010854,250126745010854,2008,72,97,129,4,3,1,1,,1,2015-03-20 16:01:35,
250127731010854,249604509010854,250126697010854,250126739010854,2008,72,97,134,2,1,1,1,,1,2015-03-20 16:01:35,
250127726010854,249604508010854,250126696010854,250126735010854,2008,72,97,90,2,2,1,1,,1,2015-03-20 16:01:34,
250127727010854,249604508010854,250126696010854,250126735010854,2008,72,97,90,2,3,1,1,,1,2015-03-20 16:01:34,
250127728010854,249604508010854,250126696010854,250126737010854,2008,72,97,90,4,1,1,1,,1,2015-03-20 16:01:34,
250127729010854,249604508010854,250126696010854,250126737010854,2008,72,97,90,4,2,1,1,,1,2015-03-20 16:01:34,
250127730010854,249604508010854,250126696010854,250126737010854,2008,72,97,90,4,3,1,1,,1,2015-03-20 16:01:34,
250127732010854,249604509010854,250126697010854,250126739010854,2008,72,97,134,2,2,1,1,,1,2015-03-20 16:01:35,
250127733010854,249604509010854,250126697010854,250126739010854,2008,72,97,134,2,3,1,1,,1,2015-03-20 16:01:35,
250127734010854,249604509010854,250126697010854,250126717010854,2008,72,97,134,4,1,1,1,,1,2015-03-20 16:01:35,
250127735010854,249604509010854,250126697010854,250126717010854,2008,72,97,134,4,2,1,1,,1,2015-03-20 16:01:35,
250127736010854,249604509010854,250126697010854,250126717010854,2008,72,97,134,4,3,1,1,,1,2015-03-20 16:01:35,
250127641010854,249604492010854,250126682010854,250126775010854,2008,72,97,157,2,1,1,1,,1,2015-03-20 16:01:34,
250127642010854,249604492010854,250126682010854,250126775010854,2008,72,97,157,2,2,1,1,,1,2015-03-20 16:01:34,
250127643010854,249604492010854,250126682010854,250126775010854,2008,72,97,157,2,3,1,1,,1,2015-03-20 16:01:34,
250127644010854,249604492010854,250126682010854,250126777010854,2008,72,97,157,4,1,1,1,,1,2015-03-20 16:01:34,
250127645010854,249604492010854,250126682010854,250126777010854,2008,72,97,157,4,2,1,1,,1,2015-03-20 16:01:34,
250127646010854,249604492010854,250126682010854,250126777010854,2008,72,97,157,4,3,1,1,,1,2015-03-20 16:01:34,
250127701010854,249604503010854,250126692010854,250126707010854,2008,72,97,165,2,1,1,1,,1,2015-03-20 16:01:34,
250127702010854,249604503010854,250126692010854,250126707010854,2008,72,97,165,2,2,1,1,,1,2015-03-20 16:01:34,
250127703010854,249604503010854,250126692010854,250126707010854,2008,72,97,165,2,3,1,1,,1,2015-03-20 16:01:34,
250127704010854,249604503010854,250126692010854,250126709010854,2008,72,97,165,4,1,1,1,,1,2015-03-20 16:01:34,
250127705010854,249604503010854,250126692010854,250126709010854,2008,72,97,165,4,2,1,1,,1,2015-03-20 16:01:34,
250127706010854,249604503010854,250126692010854,250126709010854,2008,72,97,165,4,3,1,1,,1,2015-03-20 16:01:34,
250127665010854,249604496010854,250126686010854,250126791010854,2008,72,97,167,2,1,1,1,,1,2015-03-20 16:01:34,
250127666010854,249604496010854,250126686010854,250126791010854,2008,72,97,167,2,2,1,1,,1,2015-03-20 16:01:34,
250127667010854,249604496010854,250126686010854,250126791010854,2008,72,97,167,2,3,1,1,,1,2015-03-20 16:01:34,
250127668010854,249604496010854,250126686010854,250126793010854,2008,72,97,167,4,1,1,1,,1,2015-03-20 16:01:34,
250127669010854,249604496010854,250126686010854,250126793010854,2008,72,97,167,4,2,1,1,,1,2015-03-20 16:01:34,
250127670010854,249604496010854,250126686010854,250126793010854,2008,72,97,167,4,3,1,1,,1,2015-03-20 16:01:34,
250127617010854,249604487010854,250126678010854,250126759010854,2008,72,97,179,2,1,1,1,,1,2015-03-20 16:01:33,
250127618010854,249604487010854,250126678010854,250126759010854,2008,72,97,179,2,2,1,1,,1,2015-03-20 16:01:33,
250127619010854,249604487010854,250126678010854,250126759010854,2008,72,97,179,2,3,1,1,,1,2015-03-20 16:01:33,
250127620010854,249604487010854,250126678010854,250126761010854,2008,72,97,179,4,1,1,1,,1,2015-03-20 16:01:33,
250127621010854,249604487010854,250126678010854,250126761010854,2008,72,97,179,4,2,1,1,,1,2015-03-20 16:01:33,
250127622010854,249604487010854,250126678010854,250126761010854,2008,72,97,179,4,3,1,1,,1,2015-03-20 16:01:33,
250127695010854,249604502010854,250126691010854,250126703010854,2008,72,97,185,2,1,1,1,,1,2015-03-20 16:01:34,
250127696010854,249604502010854,250126691010854,250126703010854,2008,72,97,185,2,2,1,1,,1,2015-03-20 16:01:34,
250127697010854,249604502010854,250126691010854,250126703010854,2008,72,97,185,2,3,1,1,,1,2015-03-20 16:01:34,
250127698010854,249604502010854,250126691010854,250126705010854,2008,72,97,185,4,1,1,1,,1,2015-03-20 16:01:34,
250127699010854,249604502010854,250126691010854,250126705010854,2008,72,97,185,4,2,1,1,,1,2015-03-20 16:01:34,
250127700010854,249604502010854,250126691010854,250126705010854,2008,72,97,185,4,3,1,1,,1,2015-03-20 16:01:34,
250127671010854,249604497010854,250126687010854,250126795010854,2008,72,97,189,2,1,1,1,,1,2015-03-20 16:01:34,
250127672010854,249604497010854,250126687010854,250126795010854,2008,72,97,189,2,2,1,1,,1,2015-03-20 16:01:34,
250127673010854,249604497010854,250126687010854,250126795010854,2008,72,97,189,2,3,1,1,,1,2015-03-20 16:01:34,
250127674010854,249604497010854,250126687010854,250126797010854,2008,72,97,189,4,1,1,1,,1,2015-03-20 16:01:34,
250127675010854,249604497010854,250126687010854,250126797010854,2008,72,97,189,4,2,1,1,,1,2015-03-20 16:01:34,
250127676010854,249604497010854,250126687010854,250126797010854,2008,72,97,189,4,3,1,1,,1,2015-03-20 16:01:34,
250127683010854,249604499010854,250126689010854,250126803010854,2008,72,97,195,2,1,1,1,,1,2015-03-20 16:01:34,
250127684010854,249604499010854,250126689010854,250126803010854,2008,72,97,195,2,2,1,1,,1,2015-03-20 16:01:34,
250127685010854,249604499010854,250126689010854,250126803010854,2008,72,97,195,2,3,1,1,,1,2015-03-20 16:01:34,
250127686010854,249604499010854,250126689010854,250126805010854,2008,72,97,195,4,1,1,1,,1,2015-03-20 16:01:34,
250127687010854,249604499010854,250126689010854,250126805010854,2008,72,97,195,4,2,1,1,,1,2015-03-20 16:01:34,
250127688010854,249604499010854,250126689010854,250126805010854,2008,72,97,195,4,3,1,1,,1,2015-03-20 16:01:34,
250127629010854,249604489010854,250126680010854,250126767010854,2008,72,97,198,2,1,1,1,,1,2015-03-20 16:01:33,
250127630010854,249604489010854,250126680010854,250126767010854,2008,72,97,198,2,2,1,1,,1,2015-03-20 16:01:33,
250127631010854,249604489010854,250126680010854,250126767010854,2008,72,97,198,2,3,1,1,,1,2015-03-20 16:01:33,
250127632010854,249604489010854,250126680010854,250126769010854,2008,72,97,198,4,1,1,1,,1,2015-03-20 16:01:33,
250127633010854,249604489010854,250126680010854,250126769010854,2008,72,97,198,4,2,1,1,,1,2015-03-20 16:01:33,
250127634010854,249604489010854,250126680010854,250126769010854,2008,72,97,198,4,3,1,1,,1,2015-03-20 16:01:33,
250127761010854,249604514010854,250126702010854,250126747010854,2008,72,97,202,2,1,1,1,,1,2015-03-20 16:01:35,
250127762010854,249604514010854,250126702010854,250126747010854,2008,72,97,202,2,2,1,1,,1,2015-03-20 16:01:35,
