CN,PLT_CN,VVT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,VEG_SUBP_STATUS_CD,VEG_SUBP_NONSAMPLE_REASN_CD,SUBP_ACCESSIBLE_FOREST_PCT,DETAILED_NONFOREST_LAND_USE,TOTAL_CANOPY_COVER_LAYER_1,TOTAL_CANOPY_COVER_LAYER_2,TOTAL_CANOPY_COVER_LAYER_3,TOTAL_CANOPY_COVER_LAYER_4,CRYPTO_CRUST_COVER_PCT,LICHEN_COVER_PCT,LITTER_DUFF_COVER_PCT,MINERAL_SOIL_COVER_PCT,MOSS_COVER_PCT,ROAD_TRAIL_COVER_PCT,ROCK_COVER_PCT,STANDING_WATER_COVER_PCT,STREAM_LAKE_COVER_PCT,TRASH_JUNK_COVER_PCT,WOOD_COVER_PCT,VEG_SUBP_STATUS_CD_PRE2004,VEG_SUBP_NONSMP_RSN_CD_PRE2004,CREATED_DATE,MODIFIED_DATE
250126754010854,249604485010854,250126677010854,2008,72,97,3,1,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:33,
250126755010854,249604485010854,250126677010854,2008,72,97,3,2,1,,100,,30,60,10,20,0,0,70,4,0,0,25,0,0,0,1,1,,2015-03-20 16:01:33,
250126756010854,249604485010854,250126677010854,2008,72,97,3,3,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:33,
250126757010854,249604485010854,250126677010854,2008,72,97,3,4,1,,100,,30,65,17,5,0,0,75,4,0,0,20,0,0,0,1,1,,2015-03-20 16:01:33,
250126782010854,249604494010854,250126684010854,2008,72,97,20,1,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:34,
250126783010854,249604494010854,250126684010854,2008,72,97,20,2,1,,100,,70,80,20,1,0,0,60,1,0,0,38,0,0,0,1,1,,2015-03-20 16:01:34,
250126784010854,249604494010854,250126684010854,2008,72,97,20,3,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:34,
250126785010854,249604494010854,250126684010854,2008,72,97,20,4,1,,100,,65,70,25,3,0,0,45,1,0,0,53,0,0,0,1,1,,2015-03-20 16:01:34,
250126762010854,249604488010854,250126679010854,2008,72,97,27,1,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:33,
250126763010854,249604488010854,250126679010854,2008,72,97,27,2,1,,100,,50,45,18,2,0,0,67,2,0,0,30,0,0,0,1,1,,2015-03-20 16:01:33,
250126764010854,249604488010854,250126679010854,2008,72,97,27,3,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:33,
250126765010854,249604488010854,250126679010854,2008,72,97,27,4,1,,100,,30,50,25,5,0,0,82,2,0,0,15,0,0,0,1,1,,2015-03-20 16:01:33,
250126718010854,249604510010854,250126698010854,2008,72,97,41,1,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:35,
250126719010854,249604510010854,250126698010854,2008,72,97,41,2,1,,100,,60,60,0,0,0,0,0,50,0,0,50,0,0,0,0,1,,2015-03-20 16:01:35,
250126720010854,249604510010854,250126698010854,2008,72,97,41,3,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:35,
250126721010854,249604510010854,250126698010854,2008,72,97,41,4,1,,100,,60,60,1,0,0,0,18,2,0,0,80,0,0,0,0,1,,2015-03-20 16:01:35,
250126786010854,249604495010854,250126685010854,2008,72,97,52,1,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:34,
250126787010854,249604495010854,250126685010854,2008,72,97,52,2,1,,100,,30,60,55,0,0,1,49,1,0,0,49,0,0,0,0,1,,2015-03-20 16:01:34,
250126788010854,249604495010854,250126685010854,2008,72,97,52,3,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:34,
250126789010854,249604495010854,250126685010854,2008,72,97,52,4,1,,100,,35,60,50,0,0,1,81,2,0,0,15,0,0,0,1,1,,2015-03-20 16:01:34,
250126726010854,249604512010854,250126700010854,2008,72,97,54,1,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:35,
250126727010854,249604512010854,250126700010854,2008,72,97,54,2,1,,100,,45,35,19,1,0,0,23,1,0,0,75,0,0,0,1,1,,2015-03-20 16:01:35,
250126728010854,249604512010854,250126700010854,2008,72,97,54,3,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:35,
250126741010854,249604512010854,250126700010854,2008,72,97,54,4,1,,100,,35,20,30,0,0,0,40,5,0,0,54,0,0,0,1,1,,2015-03-20 16:01:35,
250126770010854,249604490010854,250126681010854,2008,72,97,61,1,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:33,
250126771010854,249604490010854,250126681010854,2008,72,97,61,2,1,,100,,30,55,15,0,0,0,97,1,0,0,1,0,0,0,1,1,,2015-03-20 16:01:33,
250126772010854,249604490010854,250126681010854,2008,72,97,61,3,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:33,
250126773010854,249604490010854,250126681010854,2008,72,97,61,4,1,,100,,35,60,17,1,0,0,95,1,0,0,3,0,0,0,1,1,,2015-03-20 16:01:33,
250126710010854,249604504010854,250126693010854,2008,72,97,62,1,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:34,
250126711010854,249604504010854,250126693010854,2008,72,97,62,2,1,,100,,50,65,23,1,0,0,29,1,0,0,70,0,0,0,0,1,,2015-03-20 16:01:34,
250126712010854,249604504010854,250126693010854,2008,72,97,62,3,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:34,
250126713010854,249604504010854,250126693010854,2008,72,97,62,4,1,,100,,30,60,3,0,0,0,13,1,0,0,85,0,0,0,1,1,,2015-03-20 16:01:34,
250126722010854,249604511010854,250126699010854,2008,72,97,66,1,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:35,
250126723010854,249604511010854,250126699010854,2008,72,97,66,2,1,,100,,50,40,29,0,0,1,62,5,0,0,30,0,0,0,2,1,,2015-03-20 16:01:35,
250126724010854,249604511010854,250126699010854,2008,72,97,66,3,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:35,
250126725010854,249604511010854,250126699010854,2008,72,97,66,4,1,,100,,60,50,5,0,0,1,41,3,0,0,55,0,0,0,0,1,,2015-03-20 16:01:35,
250126714010854,249604505010854,250126694010854,2008,72,97,75,1,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:34,
250126715010854,249604505010854,250126694010854,2008,72,97,75,2,1,,100,,60,60,30,0,0,0,10,1,0,0,89,0,0,0,0,1,,2015-03-20 16:01:34,
250126716010854,249604505010854,250126694010854,2008,72,97,75,3,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:34,
250126729010854,249604505010854,250126694010854,2008,72,97,75,4,1,,100,,40,80,30,0,0,0,40,10,0,0,50,0,0,0,0,1,,2015-03-20 16:01:34,
250126798010854,249604498010854,250126688010854,2008,72,97,89,1,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:34,
250126799010854,249604498010854,250126688010854,2008,72,97,89,2,1,,100,,50,50,6,1,0,0,30,2,0,0,63,0,0,0,5,1,,2015-03-20 16:01:34,
250126800010854,249604498010854,250126688010854,2008,72,97,89,3,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:34,
250126801010854,249604498010854,250126688010854,2008,72,97,89,4,1,,100,,50,50,5,0,0,0,94,0,0,5,1,0,0,0,0,1,,2015-03-20 16:01:34,
250126734010854,249604508010854,250126696010854,2008,72,97,90,1,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:34,
250126735010854,249604508010854,250126696010854,2008,72,97,90,2,1,,100,,20,35,25,10,0,0,40,3,0,0,56,0,0,0,1,1,,2015-03-20 16:01:34,
250126736010854,249604508010854,250126696010854,2008,72,97,90,3,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:34,
250126737010854,249604508010854,250126696010854,2008,72,97,90,4,1,,100,,30,45,20,0,0,0,50,1,0,0,48,0,0,0,1,1,,2015-03-20 16:01:34,
250126730010854,249604507010854,250126695010854,2008,72,97,92,1,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:34,
250126731010854,249604507010854,250126695010854,2008,72,97,92,2,1,,100,,25,60,17,0,0,1,60,3,0,0,35,0,0,0,1,1,,2015-03-20 16:01:34,
250126732010854,249604507010854,250126695010854,2008,72,97,92,3,3,4,,,,,,,,,,,,,,,,,,3,4,2015-03-20 16:01:34,
