CN,PLT_CN,VVT_CN,VSB_CN,VPS_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,SP_CANOPY_COVER_TOTAL,SP_CANOPY_COVER_LAYER_1_2,SP_CANOPY_COVER_LAYER_3,SP_CANOPY_COVER_LAYER_4,QUAD_1_PRESENCE,QUAD_2_PRESENCE,QUAD_3_PRESENCE,DUMMY_SUBP_COVER_PRE2004,MAX_COVER_LAYER_NBR_PRE2004,CREATED_DATE,MODIFIED_DATE
313424177489998,249604485010854,250126677010854,250126755010854,250126875010854,2008,72,97,3,2,AMEL,1,AMEL,1.0,0.0,1.0,0.0,0,0,1,,,2015-03-20 16:01:33,
313424180489998,249604485010854,250126677010854,250126755010854,250126868010854,2008,72,97,3,2,BUSI,1,BUSI,20.0,0.0,1.0,20.0,0,1,0,,,2015-03-20 16:01:33,
313424182489998,249604485010854,250126677010854,250126755010854,250126888010854,2008,72,97,3,2,CAFL2,1,CAFL2,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424184489998,249604485010854,250126677010854,250126755010854,250126874010854,2008,72,97,3,2,CARE8,1,CARE8,2.0,2.0,0.0,0.0,0,1,0,,,2015-03-20 16:01:33,
313424186489998,249604485010854,250126677010854,250126755010854,250126857010854,2008,72,97,3,2,CEVI2,1,CEVI2,1.0,1.0,0.0,0.0,1,1,0,,,2015-03-20 16:01:33,
313424188489998,249604485010854,250126677010854,250126755010854,250126881010854,2008,72,97,3,2,CHLI5,1,CHLI5,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424189489998,249604485010854,250126677010854,250126755010854,250126873010854,2008,72,97,3,2,COERE,1,COERE,1.0,1.0,0.0,0.0,0,1,0,,,2015-03-20 16:01:33,
313424191489998,249604485010854,250126677010854,250126755010854,250126866010854,2008,72,97,3,2,COMI,1,COMI,7.0,7.0,0.01,0.0,0,0,0,,,2015-03-20 16:01:33,
313424210489998,249604485010854,250126677010854,250126755010854,250126879010854,2008,72,97,3,2,OPMO2,1,COMO8,1.0,1.0,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424193489998,249604485010854,250126677010854,250126755010854,250126876010854,2008,72,97,3,2,CRBE8,1,CRBE8,1.0,1.0,0.0,0.0,0,1,1,,,2015-03-20 16:01:33,
313424195489998,249604485010854,250126677010854,250126755010854,250126885010854,2008,72,97,3,2,CRDI8,1,CRDI8,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424196489998,249604485010854,250126677010854,250126755010854,250126854010854,2008,72,97,3,2,CRLU2,1,CRLU2,75.0,75.0,0.0,0.0,1,1,1,,,2015-03-20 16:01:33,
313424198489998,249604485010854,250126677010854,250126755010854,250126889010854,2008,72,97,3,2,DOHA2,1,DOHA2,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424200489998,249604485010854,250126677010854,250126755010854,250126872010854,2008,72,97,3,2,EUPE8,1,EUPE8,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424202489998,249604485010854,250126677010854,250126755010854,250126883010854,2008,72,97,3,2,GADU2,1,GADU2,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424205489998,249604485010854,250126677010854,250126755010854,250126869010854,2008,72,97,3,2,IPMI,1,IPMI,0.01,0.0,0.01,0.0,0,0,0,,,2015-03-20 16:01:33,
313424206489998,249604485010854,250126677010854,250126755010854,250126878010854,2008,72,97,3,2,JAPE,1,JAPE,1.0,0.0,1.0,0.0,0,1,0,,,2015-03-20 16:01:33,
